NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX
"[0.5438123345375061, 0.20585443079471588, -0.2525593638420105]","[0.5402586460113525, 0.18068796396255493, -0.23785963654518127]","[0.5423080921173096, 0.18062545359134674, -0.23782828450202942]","[0.546333909034729, 0.18260890245437622, -0.23783835768699646]","[0.5305484533309937, 0.1825452446937561, -0.2549900412559509]","[0.5273798108100891, 0.18525584042072296, -0.25507915019989014]","[0.5241826772689819, 0.18909862637519836, -0.2551558315753937]","[0.5397515892982483, 0.19010543823242188, -0.14648453891277313]","[0.516026496887207, 0.20019108057022095, -0.22349503636360168]","[0.5439042448997498, 0.22570468485355377, -0.21627375483512878]","[0.5337451100349426, 0.22733990848064423, -0.2385968267917633]","[0.5382235646247864, 0.2988952398300171, -0.03329929709434509]","[0.5043739676475525, 0.3084094524383545, -0.20478928089141846]","[0.5211520195007324, 0.34349900484085083, 0.11734422296285629]","[0.45765599608421326, 0.3866748511791229, -0.0976782813668251]","[0.5210592746734619, 0.32202214002609253, 0.22865359485149384]","[0.43974828720092773, 0.38583964109420776, 0.06603889912366867]","[0.5192099809646606, 0.31790441274642944, 0.24779780209064484]","[0.43274956941604614, 0.3890470266342163, 0.08060939610004425]","[0.5196495652198792, 0.31088384985923767, 0.23790428042411804]","[0.4323095381259918, 0.3839099109172821, 0.06940384209156036]","[0.5196872353553772, 0.31430143117904663, 0.2262645661830902]","[0.43570154905319214, 0.3840157687664032, 0.06674765795469284]","[0.5096191167831421, 0.5406042337417603, 0.06332439929246902]","[0.489737331867218, 0.5460195541381836, -0.06340937316417694]","[0.5167521834373474, 0.7042136192321777, 0.1642288714647293]","[0.4891393780708313, 0.7268295884132385, 0.022796830162405968]","[0.5176636576652527, 0.8391807675361633, 0.2934718132019043]","[0.47652655839920044, 0.8808819055557251, 0.1399216651916504]","[0.5095264315605164, 0.865613579750061, 0.3038930594921112]","[0.46756410598754883, 0.9085716009140015, 0.14845256507396698]","[0.5599319934844971, 0.8857268691062927, 0.2633293867111206]","[0.5124983787536621, 0.9401719570159912, 0.07700411975383759]"
"[0.5444556474685669, 0.20468918979167938, -0.29798227548599243]","[0.5426297783851624, 0.17714129388332367, -0.27428585290908813]","[0.5448681712150574, 0.17688517272472382, -0.27422088384628296]","[0.5477102994918823, 0.1776125133037567, -0.27424174547195435]","[0.5320998430252075, 0.18087638914585114, -0.2900363802909851]","[0.5273855924606323, 0.1839871108531952, -0.2900732755661011]","[0.5229400396347046, 0.18791857361793518, -0.2900230288505554]","[0.5401884913444519, 0.1893109232187271, -0.14817628264427185]","[0.5112593770027161, 0.1999472677707672, -0.22355031967163086]","[0.5456403493881226, 0.22607463598251343, -0.24941399693489075]","[0.5338795781135559, 0.22813156247138977, -0.2708308696746826]","[0.5372152924537659, 0.2945559322834015, -0.013829343020915985]","[0.49698129296302795, 0.3079018294811249, -0.23593075573444366]","[0.5300614237785339, 0.3093031644821167, 0.19669212400913239]","[0.4543428421020508, 0.3846685290336609, -0.38905730843544006]","[0.5336495637893677, 0.2840883433818817, 0.41828998923301697]","[0.44417786598205566, 0.38559120893478394, -0.5629057288169861]","[0.5314154624938965, 0.2813396155834198, 0.4593260884284973]","[0.43779048323631287, 0.389058381319046, -0.5992481708526611]","[0.5348682999610901, 0.27220532298088074, 0.451392263174057]","[0.4410211145877838, 0.3778878450393677, -0.6030473709106445]","[0.5358273983001709, 0.2753698229789734, 0.41965287923812866]","[0.4438183903694153, 0.37808850407600403, -0.5689826607704163]","[0.5155646204948425, 0.54521644115448, 0.07308453321456909]","[0.48973196744918823, 0.5488733649253845, -0.07321380078792572]","[0.5179545879364014, 0.7041664719581604, 0.22695454955101013]","[0.48740941286087036, 0.7258920669555664, 0.0317375622689724]","[0.5176995396614075, 0.8396012187004089, 0.3829653561115265]","[0.4758436679840088, 0.8825721144676208, 0.17030175030231476]","[0.509199321269989, 0.8673940896987915, 0.39554768800735474]","[0.4670290946960449, 0.9095126390457153, 0.1806882619857788]","[0.5609280467033386, 0.8860985040664673, 0.35615846514701843]","[0.5123615264892578, 0.9402047991752625, 0.10504069179296494]"
"[0.5471700429916382, 0.2034340351819992, -0.28671756386756897]","[0.5457602143287659, 0.17573405802249908, -0.2639833092689514]","[0.5478229522705078, 0.1752575933933258, -0.2639310956001282]","[0.5499671101570129, 0.17535218596458435, -0.2639501392841339]","[0.5360195636749268, 0.17957210540771484, -0.28113654255867004]","[0.5307031869888306, 0.18239426612854004, -0.28117501735687256]","[0.5243712067604065, 0.18579788506031036, -0.28115227818489075]","[0.5408869385719299, 0.18848982453346252, -0.13879449665546417]","[0.510859489440918, 0.19901536405086517, -0.2210177183151245]","[0.5482678413391113, 0.22601768374443054, -0.2403237521648407]","[0.5361466407775879, 0.22813093662261963, -0.2635757327079773]","[0.5362036228179932, 0.2933368384838104, -0.004463348537683487]","[0.4945336878299713, 0.3080013692378998, -0.23876743018627167]","[0.5373084545135498, 0.2981232702732086, 0.19540642201900482]","[0.4531303346157074, 0.3856382966041565, -0.4047119617462158]","[0.5451868176460266, 0.25503718852996826, 0.40436434745788574]","[0.4451679587364197, 0.39020419120788574, -0.5945364236831665]","[0.5430892109870911, 0.2470504194498062, 0.4427216053009033]","[0.4388026297092438, 0.3961085379123688, -0.6326054334640503]","[0.5476873517036438, 0.23667752742767334, 0.4364433288574219]","[0.4422062933444977, 0.3790208101272583, -0.6379433870315552]","[0.5483866930007935, 0.24153508245944977, 0.4056231379508972]","[0.44511500000953674, 0.37884950637817383, -0.60181725025177]","[0.517045795917511, 0.5517811179161072, 0.07591430842876434]","[0.4897196292877197, 0.5546708703041077, -0.07602334022521973]","[0.5189934372901917, 0.7040782570838928, 0.23933175206184387]","[0.4865328371524811, 0.7259256839752197, 0.04021769016981125]","[0.5176304578781128, 0.8394696712493896, 0.40131664276123047]","[0.47554731369018555, 0.8837057948112488, 0.18630601465702057]","[0.5085495710372925, 0.8675065040588379, 0.41416221857070923]","[0.466845840215683, 0.9103890061378479, 0.19693928956985474]","[0.5615386366844177, 0.8862939476966858, 0.37308093905448914]","[0.5123172998428345, 0.9404748678207397, 0.11831644922494888]"
"[0.54768306016922, 0.20174090564250946, -0.29848989844322205]","[0.5458930134773254, 0.17441843450069427, -0.2766669988632202]","[0.5479727983474731, 0.17388756573200226, -0.2766120135784149]","[0.5500223636627197, 0.1737101674079895, -0.27664631605148315]","[0.5360650420188904, 0.178635835647583, -0.2945252060890198]","[0.530645489692688, 0.1818196028470993, -0.29457005858421326]","[0.5241864919662476, 0.18516868352890015, -0.29452869296073914]","[0.5406920313835144, 0.1879132091999054, -0.153285950422287]","[0.5100845694541931, 0.1987243890762329, -0.23764470219612122]","[0.5482682585716248, 0.22591426968574524, -0.2520703971385956]","[0.5362695455551147, 0.22813476622104645, -0.27629518508911133]","[0.5335602164268494, 0.29311418533325195, -0.011797687038779259]","[0.4935922622680664, 0.30825603008270264, -0.2518061697483063]","[0.5359045267105103, 0.3003988564014435, 0.1816263645887375]","[0.45020565390586853, 0.38672325015068054, -0.3817281424999237]","[0.540359377861023, 0.28667452931404114, 0.3709079623222351]","[0.44482073187828064, 0.39038771390914917, -0.5182148814201355]","[0.539625346660614, 0.28877341747283936, 0.405587375164032]","[0.4385407865047455, 0.39609619975090027, -0.5511681437492371]","[0.5426962971687317, 0.2720375061035156, 0.3926219046115875]","[0.44188976287841797, 0.3791603446006775, -0.5536105036735535]","[0.5431362390518188, 0.2723347842693329, 0.36977463960647583]","[0.4446353316307068, 0.3789261281490326, -0.5230081081390381]","[0.5169193744659424, 0.5520840287208557, 0.07576540112495422]","[0.48968902230262756, 0.55482417345047, -0.0758664682507515]","[0.5196921229362488, 0.703920304775238, 0.24040523171424866]","[0.48580899834632874, 0.7259179949760437, 0.05685725063085556]","[0.5175170302391052, 0.8394381403923035, 0.4022423326969147]","[0.47534117102622986, 0.8844923973083496, 0.21173222362995148]","[0.508350670337677, 0.8674772381782532, 0.4157031178474426]","[0.4665077328681946, 0.9112910032272339, 0.22405633330345154]","[0.5615900158882141, 0.8867691159248352, 0.3771481215953827]","[0.512317419052124, 0.9415724277496338, 0.14897450804710388]"
"[0.5495061278343201, 0.2005510777235031, -0.29692527651786804]","[0.5466486215591431, 0.17404061555862427, -0.27536171674728394]","[0.5482126474380493, 0.1734103262424469, -0.27536946535110474]","[0.5499476194381714, 0.1731250286102295, -0.27544352412223816]","[0.5383573770523071, 0.1785384565591812, -0.2865976393222809]","[0.5326184630393982, 0.18167153000831604, -0.28664907813072205]","[0.5266026258468628, 0.18522398173809052, -0.2866533398628235]","[0.5392791032791138, 0.18788428604602814, -0.15119071304798126]","[0.5101739168167114, 0.19896197319030762, -0.24015767872333527]","[0.5490128993988037, 0.2251330018043518, -0.24705621600151062]","[0.5376223921775818, 0.22805972397327423, -0.268543541431427]","[0.5316601991653442, 0.29211297631263733, -0.0150251854211092]","[0.49443531036376953, 0.3083474934101105, -0.2527253329753876]","[0.5305755734443665, 0.30362674593925476, 0.16759037971496582]","[0.4506503939628601, 0.3876824676990509, -0.3320758640766144]","[0.5386134386062622, 0.293109267950058, 0.33275771141052246]","[0.4464142918586731, 0.3928097188472748, -0.3932487368583679]","[0.5368198156356812, 0.2986507713794708, 0.3620149493217468]","[0.4414026737213135, 0.3980104327201843, -0.41610223054885864]","[0.5394318699836731, 0.281706839799881, 0.35053539276123047]","[0.44449105858802795, 0.38081860542297363, -0.41804513335227966]","[0.5399906635284424, 0.28000569343566895, 0.33119529485702515]","[0.4466906487941742, 0.3803724944591522, -0.3954639732837677]","[0.5165818929672241, 0.5513531565666199, 0.07639368623495102]","[0.4896772503852844, 0.5546044111251831, -0.0765240415930748]","[0.5202636122703552, 0.7030133605003357, 0.2353593111038208]","[0.4856894612312317, 0.7257097959518433, 0.05396579951047897]","[0.5174646377563477, 0.8393838405609131, 0.3915853500366211]","[0.47528186440467834, 0.8853612542152405, 0.19918771088123322]","[0.508263885974884, 0.8671985864639282, 0.4048476815223694]","[0.46624913811683655, 0.9120523929595947, 0.21072939038276672]","[0.5618166923522949, 0.8868426084518433, 0.36950668692588806]","[0.5123245716094971, 0.942601203918457, 0.1377089023590088]"
"[0.5500738620758057, 0.20012347400188446, -0.31043747067451477]","[0.5473798513412476, 0.17413614690303802, -0.2900499701499939]","[0.5489455461502075, 0.1735701709985733, -0.2900022864341736]","[0.5506681203842163, 0.1734474152326584, -0.2900243401527405]","[0.539219856262207, 0.178373321890831, -0.30974429845809937]","[0.5333809852600098, 0.1813025325536728, -0.3098045587539673]","[0.5271963477134705, 0.1850222647190094, -0.3097701966762543]","[0.5393511056900024, 0.18791908025741577, -0.170466810464859]","[0.5103963613510132, 0.1990160346031189, -0.26611146330833435]","[0.5497356653213501, 0.22498968243598938, -0.2636333405971527]","[0.538337230682373, 0.22805576026439667, -0.29066702723503113]","[0.531361997127533, 0.29139310121536255, -0.025131797417998314]","[0.494300901889801, 0.3084615468978882, -0.2645720839500427]","[0.5291212797164917, 0.31513267755508423, 0.17409467697143555]","[0.4511198103427887, 0.3888433575630188, -0.2792513966560364]","[0.5367198586463928, 0.3097807466983795, 0.3428444266319275]","[0.44835352897644043, 0.40041935443878174, -0.24458050727844238]","[0.5351760983467102, 0.3146216869354248, 0.37203073501586914]","[0.4446144998073578, 0.4057714641094208, -0.2523983120918274]","[0.53734290599823, 0.3016725480556488, 0.3576285243034363]","[0.4470229744911194, 0.39084285497665405, -0.25955381989479065]","[0.5377475023269653, 0.30068546533584595, 0.33982783555984497]","[0.4487089216709137, 0.38965553045272827, -0.24467706680297852]","[0.5165624022483826, 0.5508673191070557, 0.07634429633617401]","[0.4896717965602875, 0.5543689131736755, -0.07645151019096375]","[0.5215181112289429, 0.7004881501197815, 0.23800912499427795]","[0.4857182502746582, 0.7242385149002075, 0.05106140300631523]","[0.5174573659896851, 0.8392626643180847, 0.40361934900283813]","[0.4752890169620514, 0.8854027390480042, 0.19467803835868835]","[0.5082669258117676, 0.8663166761398315, 0.41797056794166565]","[0.4659841060638428, 0.912227988243103, 0.20600521564483643]","[0.5620067119598389, 0.8869620561599731, 0.3850564956665039]","[0.5123507380485535, 0.9433186650276184, 0.13157156109809875]"
"[0.549820065498352, 0.2022230327129364, -0.30683010816574097]","[0.5472167730331421, 0.1769455522298813, -0.28459686040878296]","[0.5488746166229248, 0.17664942145347595, -0.28453895449638367]","[0.5507198572158813, 0.1761244386434555, -0.2845595180988312]","[0.5387357473373413, 0.18084555864334106, -0.30250126123428345]","[0.5331372618675232, 0.1835225373506546, -0.3025496006011963]","[0.5264129638671875, 0.18670040369033813, -0.30251067876815796]","[0.5396364331245422, 0.19025588035583496, -0.1642092615365982]","[0.5105403661727905, 0.2005036622285843, -0.2541468143463135]","[0.5495423674583435, 0.22708246111869812, -0.25995054841041565]","[0.5381982922554016, 0.22991491854190826, -0.2841632068157196]","[0.5321166515350342, 0.29082438349723816, -0.02463940903544426]","[0.4927665591239929, 0.30988624691963196, -0.2517097592353821]","[0.5297216773033142, 0.3172650635242462, 0.18430164456367493]","[0.4509078860282898, 0.3893941640853882, -0.31034761667251587]","[0.5371381044387817, 0.30473053455352783, 0.377253919839859]","[0.44633859395980835, 0.40260425209999084, -0.3720073997974396]","[0.5366480350494385, 0.3079562485218048, 0.4121302664279938]","[0.4415097236633301, 0.4080711901187897, -0.3918827474117279]","[0.5383276343345642, 0.2963046729564667, 0.4003663957118988]","[0.4450448155403137, 0.39354759454727173, -0.3997952342033386]","[0.5385485291481018, 0.2965684235095978, 0.3762514591217041]","[0.44716161489486694, 0.39283639192581177, -0.3763069212436676]","[0.5168144702911377, 0.5505067706108093, 0.07631415873765945]","[0.4895997643470764, 0.5539809465408325, -0.07643157988786697]","[0.5231556296348572, 0.7005224227905273, 0.2335294932126999]","[0.4862495958805084, 0.7232164144515991, 0.03353303298354149]","[0.5174828767776489, 0.8393104672431946, 0.3912162184715271]","[0.4755686819553375, 0.8853643536567688, 0.15567514300346375]","[0.508293628692627, 0.8660547137260437, 0.4044283926486969]","[0.4659878611564636, 0.9122098088264465, 0.1647249013185501]","[0.5624971985816956, 0.8870320916175842, 0.37305453419685364]","[0.5124683380126953, 0.9437910318374634, 0.0921657383441925]"
"[0.5499664545059204, 0.20231281220912933, -0.3212082087993622]","[0.5475450754165649, 0.17727598547935486, -0.29736563563346863]","[0.5493820905685425, 0.17693033814430237, -0.29729771614074707]","[0.5512519478797913, 0.1763739436864853, -0.29732462763786316]","[0.5386868715286255, 0.181199312210083, -0.3159016966819763]","[0.5329799652099609, 0.18378281593322754, -0.3159472942352295]","[0.5264105200767517, 0.18697193264961243, -0.31588807702064514]","[0.5418637990951538, 0.19046176970005035, -0.16938774287700653]","[0.510528028011322, 0.20137560367584229, -0.2570685148239136]","[0.5502318143844604, 0.22724898159503937, -0.2723475396633148]","[0.5386713147163391, 0.2301395833492279, -0.2974890470504761]","[0.5337613821029663, 0.2907983660697937, -0.0279687587171793]","[0.49209538102149963, 0.31101444363594055, -0.259554386138916]","[0.530988872051239, 0.3145220875740051, 0.1966494768857956]","[0.4491325318813324, 0.3894539177417755, -0.3628111779689789]","[0.5407378077507019, 0.29611846804618835, 0.41936635971069336]","[0.43945735692977905, 0.4022212028503418, -0.48010024428367615]","[0.5411118268966675, 0.29673629999160767, 0.4602183699607849]","[0.4315721392631531, 0.4074245095252991, -0.5077164769172668]","[0.5431863069534302, 0.28492897748947144, 0.44676288962364197]","[0.43502601981163025, 0.3931618630886078, -0.5167680978775024]","[0.5435434579849243, 0.28625020384788513, 0.41858968138694763]","[0.4386884570121765, 0.39264166355133057, -0.48671451210975647]","[0.5166700482368469, 0.5502691268920898, 0.07678188383579254]","[0.48877158761024475, 0.5533629655838013, -0.07690039277076721]","[0.5255523920059204, 0.699230432510376, 0.23016385734081268]","[0.48695915937423706, 0.7211712598800659, 0.017298322170972824]","[0.5173473954200745, 0.8395108580589294, 0.39088335633277893]","[0.47562211751937866, 0.8854460120201111, 0.1435893476009369]","[0.5077728033065796, 0.8660354614257812, 0.40395045280456543]","[0.46596020460128784, 0.912256121635437, 0.15251374244689941]","[0.5628536939620972, 0.8871532082557678, 0.367992103099823]","[0.5127376317977905, 0.9443907141685486, 0.0735282450914383]"
"[0.5502168536186218, 0.20320281386375427, -0.3372367024421692]","[0.5486218929290771, 0.17905595898628235, -0.3155856132507324]","[0.5506497621536255, 0.17884807288646698, -0.3155157268047333]","[0.5524375438690186, 0.17885303497314453, -0.3155316412448883]","[0.5392590165138245, 0.1816329061985016, -0.3356691300868988]","[0.5336378812789917, 0.1840268224477768, -0.33573079109191895]","[0.5265976190567017, 0.1870110183954239, -0.33570095896720886]","[0.5434622764587402, 0.19300577044487, -0.18944236636161804]","[0.5103908777236938, 0.20229917764663696, -0.2835758626461029]","[0.5504668951034546, 0.2287449687719345, -0.28824537992477417]","[0.5387338995933533, 0.2309529185295105, -0.31543609499931335]","[0.5341551303863525, 0.2931380271911621, -0.039985086768865585]","[0.49181848764419556, 0.31321361660957336, -0.27576419711112976]","[0.5307618379592896, 0.32332843542099, 0.18805056810379028]","[0.4485991597175598, 0.3903126120567322, -0.3284812569618225]","[0.5392267107963562, 0.307895690202713, 0.3911901116371155]","[0.4389004707336426, 0.4037550091743469, -0.3727538585662842]","[0.5393350720405579, 0.31057462096214294, 0.4277919828891754]","[0.4314449429512024, 0.4086360037326813, -0.3913583755493164]","[0.5412602424621582, 0.3000039756298065, 0.4129876494407654]","[0.43504124879837036, 0.3958885669708252, -0.39974838495254517]","[0.5415207147598267, 0.30040040612220764, 0.38927093148231506]","[0.4385472238063812, 0.3955831825733185, -0.37687021493911743]","[0.5165519118309021, 0.5509377121925354, 0.07713876664638519]","[0.48791080713272095, 0.5533483028411865, -0.07727683335542679]","[0.5288596153259277, 0.6978108882904053, 0.23407748341560364]","[0.48799920082092285, 0.7182101607322693, 0.03410444036126137]","[0.5173320174217224, 0.8396132588386536, 0.40583738684654236]","[0.47562462091445923, 0.8852545022964478, 0.18928171694278717]","[0.5073517560958862, 0.8659917116165161, 0.42023786902427673]","[0.4658495783805847, 0.9121405482292175, 0.20097839832305908]","[0.5634068250656128, 0.8871972560882568, 0.3842645287513733]","[0.5129925608634949, 0.9444718956947327, 0.12107721716165543]"
"[0.5501686334609985, 0.20451927185058594, -0.333646684885025]","[0.5486139059066772, 0.18102717399597168, -0.312547504901886]","[0.550899863243103, 0.18194423615932465, -0.3124808371067047]","[0.5527456402778625, 0.1830151230096817, -0.31249356269836426]","[0.5390651226043701, 0.1821223795413971, -0.3327001929283142]","[0.5335639715194702, 0.18428170680999756, -0.33276957273483276]","[0.5265639424324036, 0.18701377511024475, -0.3327619433403015]","[0.5441834926605225, 0.1972452849149704, -0.18798883259296417]","[0.5104103684425354, 0.20270082354545593, -0.28234434127807617]","[0.5503870248794556, 0.2304678112268448, -0.28508803248405457]","[0.5387082695960999, 0.23155151307582855, -0.3124561011791229]","[0.5343899726867676, 0.2948036193847656, -0.0404813289642334]","[0.49153932929039, 0.31477609276771545, -0.27543920278549194]","[0.5303457379341125, 0.3242219388484955, 0.18956635892391205]","[0.44847792387008667, 0.39097967743873596, -0.3380453288555145]","[0.5384421944618225, 0.3081360161304474, 0.39652419090270996]","[0.4372687339782715, 0.4043525755405426, -0.4028744697570801]","[0.5384835004806519, 0.31042125821113586, 0.43379098176956177]","[0.4296089708805084, 0.4091857075691223, -0.42496395111083984]","[0.5403233170509338, 0.30012011528015137, 0.41868048906326294]","[0.433709055185318, 0.39707693457603455, -0.43387994170188904]","[0.5404108762741089, 0.3006390631198883, 0.3946395814418793]","[0.43738874793052673, 0.3969195783138275, -0.40767091512680054]","[0.5165132284164429, 0.5512107610702515, 0.07757003605365753]","[0.48727402091026306, 0.5532666444778442, -0.07773526012897491]","[0.5301083326339722, 0.6967018842697144, 0.23500609397888184]","[0.48848992586135864, 0.7166088819503784, 0.03163032606244087]","[0.5173092484474182, 0.8396425247192383, 0.41044872999191284]","[0.47562655806541443, 0.8850862383842468, 0.18372726440429688]","[0.507049024105072, 0.8659389019012451, 0.4249056875705719]","[0.46574950218200684, 0.9120617508888245, 0.1949484944343567]","[0.5637606382369995, 0.8872341513633728, 0.38578397035598755]","[0.5131713151931763, 0.9444646239280701, 0.1160675436258316]"
