NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX
"[0.5058478713035583, 0.20133469998836517, -0.07827088981866837]","[0.50248783826828, 0.18599097430706024, -0.06719311326742172]","[0.5020571947097778, 0.1855343133211136, -0.06717610359191895]","[0.5014735460281372, 0.18502600491046906, -0.06717759370803833]","[0.5003016591072083, 0.18613949418067932, -0.09039098769426346]","[0.4982489049434662, 0.1859128773212433, -0.09039176255464554]","[0.4960033893585205, 0.18583473563194275, -0.09037970006465912]","[0.4905868172645569, 0.19000458717346191, 0.001043070456944406]","[0.4844141900539398, 0.19241522252559662, -0.10300598293542862]","[0.5039963126182556, 0.21588963270187378, -0.049304183572530746]","[0.501128613948822, 0.21729210019111633, -0.07959917187690735]","[0.485614538192749, 0.2874780297279358, 0.1093926802277565]","[0.4854840636253357, 0.2631193995475769, -0.16069358587265015]","[0.5318396091461182, 0.323178231716156, 0.18419113755226135]","[0.5471515655517578, 0.27624011039733887, -0.22687748074531555]","[0.5753335952758789, 0.3355066776275635, 0.16221684217453003]","[0.6045015454292297, 0.28999653458595276, -0.23837050795555115]","[0.5856288075447083, 0.3373758792877197, 0.1686669886112213]","[0.6185508966445923, 0.29892605543136597, -0.27077943086624146]","[0.5878114700317383, 0.3351755738258362, 0.1402977705001831]","[0.6205228567123413, 0.293906033039093, -0.24970409274101257]","[0.5859315991401672, 0.33293163776397705, 0.14872139692306519]","[0.6143873929977417, 0.2942937910556793, -0.23069719970226288]","[0.47829121351242065, 0.4742183983325958, 0.07726797461509705]","[0.4758097231388092, 0.47493183612823486, -0.07737359404563904]","[0.4764429032802582, 0.6098240613937378, 0.15664072334766388]","[0.4693465828895569, 0.6275845766067505, -0.02679196372628212]","[0.461779922246933, 0.7303087711334229, 0.2636004090309143]","[0.45499125123023987, 0.7745839357376099, 0.0275356974452734]","[0.4542062282562256, 0.7513030767440796, 0.27279993891716003]","[0.44616326689720154, 0.8016042709350586, 0.02940407022833824]","[0.491240918636322, 0.7565591335296631, 0.2422916144132614]","[0.4912835955619812, 0.8038207292556763, -0.030879121273756027]"
"[0.5056579113006592, 0.20187100768089294, -0.036506880074739456]","[0.5018488168716431, 0.18646369874477386, -0.03008275106549263]","[0.5011926889419556, 0.18600884079933167, -0.030068963766098022]","[0.5003858804702759, 0.18550841510295868, -0.030056577175855637]","[0.5001633763313293, 0.18666504323482513, -0.055287014693021774]","[0.4981793761253357, 0.18646909296512604, -0.05528148263692856]","[0.49597829580307007, 0.18637847900390625, -0.05529414489865303]","[0.4895634651184082, 0.1905074268579483, 0.01970376819372177]","[0.484393835067749, 0.19277742505073547, -0.09472571313381195]","[0.503205418586731, 0.21683573722839355, -0.01357781421393156]","[0.5010277032852173, 0.21788160502910614, -0.04685945436358452]","[0.48029518127441406, 0.2784252464771271, 0.1109866350889206]","[0.4854103922843933, 0.26302963495254517, -0.1502462476491928]","[0.5305193066596985, 0.31917861104011536, 0.1625678837299347]","[0.5471411943435669, 0.2806694805622101, -0.2031921148300171]","[0.5754519104957581, 0.3333684802055359, 0.12463369220495224]","[0.6059263944625854, 0.28977248072624207, -0.1883874088525772]","[0.5859740972518921, 0.33526256680488586, 0.12938721477985382]","[0.620426595211029, 0.2974333167076111, -0.21444308757781982]","[0.5880059003829956, 0.33410516381263733, 0.10212922096252441]","[0.621555507183075, 0.2935936450958252, -0.1925269514322281]","[0.5862936973571777, 0.3319951295852661, 0.11143690347671509]","[0.6158227920532227, 0.2940695285797119, -0.1796216070652008]","[0.47838443517684937, 0.4725535213947296, 0.07698668539524078]","[0.47866398096084595, 0.4748236835002899, -0.07710032165050507]","[0.47646254301071167, 0.6093799471855164, 0.15394267439842224]","[0.46997278928756714, 0.6270548701286316, -0.0315849743783474]","[0.4618402421474457, 0.7314853072166443, 0.25228092074394226]","[0.4552091658115387, 0.770178496837616, 0.024805011227726936]","[0.45429474115371704, 0.7516853213310242, 0.26065194606781006]","[0.44639068841934204, 0.7975292801856995, 0.02763318084180355]","[0.4925996661186218, 0.7582215070724487, 0.23345717787742615]","[0.49146074056625366, 0.8018043637275696, -0.029510334134101868]"
"[0.5057170391082764, 0.20177701115608215, -0.031240317970514297]","[0.5017280578613281, 0.18646140396595, -0.02483375184237957]","[0.5010187029838562, 0.18600784242153168, -0.024820610880851746]","[0.5001906156539917, 0.18550904095172882, -0.024800114333629608]","[0.5001511573791504, 0.18667030334472656, -0.050226710736751556]","[0.49817949533462524, 0.18649743497371674, -0.05022721737623215]","[0.49597883224487305, 0.18644970655441284, -0.05024859309196472]","[0.4893023371696472, 0.19066543877124786, 0.0236971415579319]","[0.4844384789466858, 0.19291964173316956, -0.09211947023868561]","[0.5032153129577637, 0.21688994765281677, -0.008785807527601719]","[0.5011237859725952, 0.2179013192653656, -0.04232238978147507]","[0.4786415994167328, 0.27476516366004944, 0.11191890388727188]","[0.4854859411716461, 0.2629532814025879, -0.14806146919727325]","[0.5287361145019531, 0.3178247809410095, 0.15697890520095825]","[0.5465679168701172, 0.2830667197704315, -0.19850102066993713]","[0.5754514932632446, 0.33256077766418457, 0.11523179709911346]","[0.6058871746063232, 0.29043856263160706, -0.18286438286304474]","[0.5857623815536499, 0.3343132734298706, 0.11948569864034653]","[0.6205442547798157, 0.2973855435848236, -0.2091982066631317]","[0.5875300168991089, 0.3333451449871063, 0.092142753303051]","[0.6216260194778442, 0.293502539396286, -0.1874830275774002]","[0.5860743522644043, 0.3313436210155487, 0.10197386890649796]","[0.6159240007400513, 0.2940245270729065, -0.17411205172538757]","[0.47840261459350586, 0.47219017148017883, 0.07686259597539902]","[0.4794885218143463, 0.47482383251190186, -0.07697412371635437]","[0.4764878749847412, 0.6086398959159851, 0.15332993865013123]","[0.47064656019210815, 0.626767635345459, -0.03316653147339821]","[0.46180662512779236, 0.7314761877059937, 0.2513868808746338]","[0.45531901717185974, 0.7680395245552063, 0.023502949625253677]","[0.4541701376438141, 0.7510160803794861, 0.25974082946777344]","[0.446408748626709, 0.7957621812820435, 0.026604345068335533]","[0.4920269846916199, 0.7581977844238281, 0.23324532806873322]","[0.49150243401527405, 0.801041841506958, -0.0290394127368927]"
"[0.5058705806732178, 0.20122191309928894, -0.03864221274852753]","[0.5017328262329102, 0.18620258569717407, -0.031461432576179504]","[0.50102299451828, 0.18574829399585724, -0.03145447373390198]","[0.5001945495605469, 0.1852591335773468, -0.03143991902470589]","[0.5001829266548157, 0.18649187684059143, -0.056908272206783295]","[0.4982635974884033, 0.1863563507795334, -0.0569094717502594]","[0.4961414933204651, 0.1863359659910202, -0.0569315180182457]","[0.4893120229244232, 0.19061179459095, 0.020456913858652115]","[0.4846120774745941, 0.19284892082214355, -0.0937640443444252]","[0.5032249689102173, 0.21676596999168396, -0.015082848258316517]","[0.5012633800506592, 0.21770530939102173, -0.048673853278160095]","[0.47820648550987244, 0.2740948498249054, 0.11182757467031479]","[0.485484778881073, 0.2628345191478729, -0.1491483747959137]","[0.5288231372833252, 0.3156570792198181, 0.15322960913181305]","[0.5468907356262207, 0.28303924202919006, -0.20449955761432648]","[0.576959490776062, 0.3312356173992157, 0.11028684675693512]","[0.6068445444107056, 0.2904471457004547, -0.1947566568851471]","[0.5865671038627625, 0.3331872820854187, 0.11413183063268661]","[0.6216855645179749, 0.2971014678478241, -0.22370293736457825]","[0.588392436504364, 0.33197662234306335, 0.08636070042848587]","[0.6227505803108215, 0.29320627450942993, -0.20154643058776855]","[0.5871626138687134, 0.3300356864929199, 0.09671781212091446]","[0.6173433065414429, 0.2937386929988861, -0.18614858388900757]","[0.47855129837989807, 0.47132113575935364, 0.07725914567708969]","[0.4800053536891937, 0.47467610239982605, -0.07736140489578247]","[0.47653889656066895, 0.6085591316223145, 0.1542207896709442]","[0.47106170654296875, 0.6270400881767273, -0.03299570083618164]","[0.4619216322898865, 0.7313461303710938, 0.2547524869441986]","[0.4553447365760803, 0.767979621887207, 0.03267604485154152]","[0.4542163014411926, 0.750530481338501, 0.2633148729801178]","[0.4464494585990906, 0.7956103682518005, 0.03701990097761154]","[0.4920160174369812, 0.7581983804702759, 0.23542603850364685]","[0.49150219559669495, 0.8004447817802429, -0.017925534397363663]"
"[0.5058449506759644, 0.2011762261390686, -0.03635931760072708]","[0.5015382170677185, 0.1861819326877594, -0.029328474774956703]","[0.5008090138435364, 0.18572793900966644, -0.02932138368487358]","[0.4999857544898987, 0.18524043262004852, -0.0293092243373394]","[0.5000086426734924, 0.18649210035800934, -0.054819125682115555]","[0.4981204867362976, 0.1863742172718048, -0.05481872707605362]","[0.4960053861141205, 0.1863902360200882, -0.05484569072723389]","[0.4892517626285553, 0.19062986969947815, 0.02223861962556839]","[0.48459115624427795, 0.19298547506332397, -0.09321711957454681]","[0.503156304359436, 0.2167666256427765, -0.012783574871718884]","[0.5012171864509583, 0.21770212054252625, -0.046464674174785614]","[0.4779258668422699, 0.27473828196525574, 0.11416752636432648]","[0.4854651391506195, 0.26247695088386536, -0.15070904791355133]","[0.5289672613143921, 0.31580743193626404, 0.15981747210025787]","[0.5470336079597473, 0.28288429975509644, -0.20446781814098358]","[0.5769432187080383, 0.33131951093673706, 0.12416486442089081]","[0.6068083047866821, 0.29037705063819885, -0.19352462887763977]","[0.5865207314491272, 0.33306726813316345, 0.1296081244945526]","[0.6218175292015076, 0.29663795232772827, -0.2220546454191208]","[0.5883647203445435, 0.33159223198890686, 0.10161497443914413]","[0.6229377388954163, 0.2925507724285126, -0.19920988380908966]","[0.5870397686958313, 0.3296825587749481, 0.11071120202541351]","[0.6174917817115784, 0.29306158423423767, -0.18455331027507782]","[0.4785897135734558, 0.4692821502685547, 0.07736659049987793]","[0.48008808493614197, 0.4732469320297241, -0.07747067511081696]","[0.47646260261535645, 0.6085140109062195, 0.14466501772403717]","[0.47112712264060974, 0.6268216967582703, -0.03240237012505531]","[0.4620094895362854, 0.7317183017730713, 0.23900309205055237]","[0.4553442895412445, 0.7674645185470581, 0.03433357924222946]","[0.45420703291893005, 0.7525445818901062, 0.24681559205055237]","[0.44647765159606934, 0.7953501343727112, 0.0386556014418602]","[0.4923590123653412, 0.7585688233375549, 0.21527846157550812]","[0.4916614592075348, 0.7989403605461121, -0.01631694845855236]"
"[0.505724310874939, 0.20117995142936707, -0.03270026296377182]","[0.5013040900230408, 0.18618905544281006, -0.025577593594789505]","[0.5005025267601013, 0.18573519587516785, -0.025573667138814926]","[0.4996134638786316, 0.1852504312992096, -0.025561993941664696]","[0.4998904764652252, 0.18652674555778503, -0.05170995742082596]","[0.4980388283729553, 0.18643048405647278, -0.05170651152729988]","[0.49597081542015076, 0.18645918369293213, -0.051738034933805466]","[0.4888246953487396, 0.1906803399324417, 0.02541247569024563]","[0.4846034646034241, 0.19300194084644318, -0.09292471408843994]","[0.5027077198028564, 0.21678996086120605, -0.009294352494180202]","[0.5009623169898987, 0.21770302951335907, -0.04382005333900452]","[0.47651296854019165, 0.274734228849411, 0.11665979772806168]","[0.48511138558387756, 0.2623141407966614, -0.15149638056755066]","[0.5279906392097473, 0.31584635376930237, 0.16285166144371033]","[0.5463072657585144, 0.28276732563972473, -0.20485565066337585]","[0.5755041241645813, 0.3313913345336914, 0.12571093440055847]","[0.6056791543960571, 0.2903737723827362, -0.1920914649963379]","[0.5855849981307983, 0.3331115245819092, 0.13112321496009827]","[0.6212233304977417, 0.29662659764289856, -0.21994586288928986]","[0.5870058536529541, 0.33158400654792786, 0.10293841361999512]","[0.6221567392349243, 0.29233863949775696, -0.1981271654367447]","[0.585821270942688, 0.32967278361320496, 0.11208657175302505]","[0.616539478302002, 0.29284653067588806, -0.1833055168390274]","[0.4785413146018982, 0.4667337238788605, 0.07847508788108826]","[0.4802488386631012, 0.47027668356895447, -0.07859979569911957]","[0.4764386713504791, 0.6076833009719849, 0.1453520804643631]","[0.47147125005722046, 0.6250229477882385, -0.03815240412950516]","[0.4623849391937256, 0.7316797971725464, 0.2407539337873459]","[0.45536962151527405, 0.7668737769126892, 0.023072097450494766]","[0.454401433467865, 0.7525218725204468, 0.2485303431749344]","[0.44655841588974, 0.7949671149253845, 0.02691173180937767]","[0.4924221634864807, 0.7588837742805481, 0.2158937156200409]","[0.4918704926967621, 0.7982274293899536, -0.02970626950263977]"
"[0.505721926689148, 0.20118047297000885, -0.03937552124261856]","[0.5012537837028503, 0.1861971914768219, -0.030325019732117653]","[0.5004101991653442, 0.18574048578739166, -0.030295878648757935]","[0.49947434663772583, 0.18525749444961548, -0.030283570289611816]","[0.49989137053489685, 0.1866029053926468, -0.05189945548772812]","[0.4980456829071045, 0.1865709275007248, -0.05191686749458313]","[0.4960080683231354, 0.1866728663444519, -0.05191284418106079]","[0.4886736273765564, 0.1907220482826233, 0.01981182023882866]","[0.48469042778015137, 0.19330020248889923, -0.10576964914798737]","[0.502483606338501, 0.2167910486459732, -0.013905055820941925]","[0.5009138584136963, 0.21770551800727844, -0.046320244669914246]","[0.4764772057533264, 0.2750648856163025, 0.10714827477931976]","[0.4848030209541321, 0.26253315806388855, -0.16094645857810974]","[0.5260663628578186, 0.3140161633491516, 0.1543029397726059]","[0.5459893941879272, 0.2817477583885193, -0.21225984394550323]","[0.5729071497917175, 0.3308686912059784, 0.11377741396427155]","[0.6058694124221802, 0.2903631329536438, -0.19812193512916565]","[0.583476185798645, 0.33146798610687256, 0.11825954914093018]","[0.6215711832046509, 0.29626601934432983, -0.22665758430957794]","[0.5841616988182068, 0.32870325446128845, 0.08992525935173035]","[0.6224348545074463, 0.290340393781662, -0.20460204780101776]","[0.5837828516960144, 0.3283613920211792, 0.10005451738834381]","[0.6166889071464539, 0.2915094196796417, -0.18947699666023254]","[0.47850483655929565, 0.46782824397087097, 0.07847481966018677]","[0.4801342487335205, 0.4716620445251465, -0.07859931886196136]","[0.4764356017112732, 0.608415424823761, 0.1566379964351654]","[0.47145238518714905, 0.6252685785293579, -0.022151554003357887]","[0.4624721109867096, 0.7319257855415344, 0.261801540851593]","[0.45537954568862915, 0.7670745849609375, 0.06083167716860771]","[0.4544495940208435, 0.7533339858055115, 0.27076905965805054]","[0.44659891724586487, 0.7951058149337769, 0.06680949032306671]","[0.49218225479125977, 0.7608953714370728, 0.23810367286205292]","[0.49190178513526917, 0.7983336448669434, 0.010953499004244804]"
"[0.5055825710296631, 0.20072691142559052, -0.04285497963428497]","[0.5009697675704956, 0.18582403659820557, -0.03369258716702461]","[0.5000501275062561, 0.18540900945663452, -0.03366323560476303]","[0.49903279542922974, 0.18497350811958313, -0.033654455095529556]","[0.49976739287376404, 0.1863096058368683, -0.05409299209713936]","[0.4979473054409027, 0.18634334206581116, -0.05412006378173828]","[0.4959535002708435, 0.18648585677146912, -0.05408298969268799]","[0.48818325996398926, 0.19068562984466553, 0.017442815005779266]","[0.48468247056007385, 0.19327841699123383, -0.10816725343465805]","[0.5021377801895142, 0.216689795255661, -0.017118599265813828]","[0.5007346272468567, 0.21759475767612457, -0.04660120606422424]","[0.47596821188926697, 0.2754208445549011, 0.1058732122182846]","[0.4849851131439209, 0.2626591920852661, -0.1643623560667038]","[0.5262619853019714, 0.31337684392929077, 0.15185964107513428]","[0.5465158820152283, 0.28119415044784546, -0.21708443760871887]","[0.5728063583374023, 0.33065155148506165, 0.11365354061126709]","[0.6073102951049805, 0.2903529107570648, -0.19832780957221985]","[0.5834733247756958, 0.3307243585586548, 0.1193421483039856]","[0.6235296130180359, 0.2962484657764435, -0.2286701649427414]","[0.5843579769134521, 0.32835131883621216, 0.09074348211288452]","[0.6241233348846436, 0.29037413001060486, -0.2057071477174759]","[0.5838178396224976, 0.327879935503006, 0.09995377063751221]","[0.6184938549995422, 0.2915283143520355, -0.19024810194969177]","[0.4784718155860901, 0.46942779421806335, 0.07867898046970367]","[0.4800753593444824, 0.47310519218444824, -0.07880918681621552]","[0.4763728976249695, 0.6089626550674438, 0.16325122117996216]","[0.47144484519958496, 0.6256502270698547, -0.012122079730033875]","[0.462503582239151, 0.7319177985191345, 0.2719319760799408]","[0.45542454719543457, 0.7669960856437683, 0.07891948521137238]","[0.45448485016822815, 0.7536667585372925, 0.28137439489364624]","[0.4466117322444916, 0.7950180768966675, 0.0856112390756607]","[0.4920575022697449, 0.7610107660293579, 0.2493947446346283]","[0.49190574884414673, 0.7983720302581787, 0.03049524500966072]"
"[0.5052973031997681, 0.19991177320480347, -0.04271524026989937]","[0.5004676580429077, 0.1852332204580307, -0.03494267910718918]","[0.49945101141929626, 0.18487834930419922, -0.03493354469537735]","[0.4983464181423187, 0.18451127409934998, -0.03492549806833267]","[0.4994615912437439, 0.18575242161750793, -0.058504827320575714]","[0.49768051505088806, 0.18584094941616058, -0.05851627141237259]","[0.4957655072212219, 0.1860097050666809, -0.05850768834352493]","[0.4875272214412689, 0.19058403372764587, 0.01696828007698059]","[0.4846789240837097, 0.19304794073104858, -0.10774757713079453]","[0.5016201734542847, 0.2162085473537445, -0.018326962366700172]","[0.5004159212112427, 0.2170707881450653, -0.050326742231845856]","[0.474959135055542, 0.2753981351852417, 0.10619892179965973]","[0.48518863320350647, 0.26259881258010864, -0.16456159949302673]","[0.5262527465820312, 0.3129202723503113, 0.151245579123497]","[0.5474528670310974, 0.28021717071533203, -0.21697573363780975]","[0.5723742842674255, 0.3307535648345947, 0.1126944050192833]","[0.6086320877075195, 0.29028159379959106, -0.1969330757856369]","[0.5832687020301819, 0.3307669758796692, 0.11860736459493637]","[0.6249527335166931, 0.2962474524974823, -0.226321741938591]","[0.584557831287384, 0.32842689752578735, 0.09027636796236038]","[0.6254913210868835, 0.29043450951576233, -0.20355257391929626]","[0.583916425704956, 0.32795411348342896, 0.09910115599632263]","[0.6198558211326599, 0.2915424704551697, -0.1882743090391159]","[0.47822412848472595, 0.4694717824459076, 0.0787174180150032]","[0.4800283908843994, 0.47311800718307495, -0.0788508877158165]","[0.47609376907348633, 0.6091209650039673, 0.16190971434116364]","[0.4714357256889343, 0.6256590485572815, -0.013030494563281536]","[0.4624105989933014, 0.7326763868331909, 0.2684658169746399]","[0.45546793937683105, 0.7670093774795532, 0.07498928159475327]","[0.4543758034706116, 0.756060004234314, 0.27763140201568604]","[0.44661569595336914, 0.7949576377868652, 0.08145689219236374]","[0.49203258752822876, 0.7627426981925964, 0.2459065169095993]","[0.49196678400039673, 0.7984176874160767, 0.026844952255487442]"
"[0.5051645040512085, 0.19974897801876068, -0.04389021173119545]","[0.5002642869949341, 0.1850786805152893, -0.03623102977871895]","[0.4992384910583496, 0.18472780287265778, -0.03622301667928696]","[0.4981224536895752, 0.18437471985816956, -0.03621486574411392]","[0.49926432967185974, 0.18566782772541046, -0.05986224487423897]","[0.4974561631679535, 0.1857948899269104, -0.05987280607223511]","[0.49553531408309937, 0.1859900802373886, -0.05985606461763382]","[0.4872909486293793, 0.19057294726371765, 0.015762191265821457]","[0.4845770299434662, 0.19305475056171417, -0.10889574140310287]","[0.5013967752456665, 0.21612869203090668, -0.019517002627253532]","[0.500161349773407, 0.21700559556484222, -0.05126910284161568]","[0.47521868348121643, 0.27544841170310974, 0.10610373318195343]","[0.4851861000061035, 0.2624801993370056, -0.1657424420118332]","[0.5262393951416016, 0.3129154443740845, 0.15398170053958893]","[0.5475054979324341, 0.278557151556015, -0.2168836146593094]","[0.5724583864212036, 0.3321705460548401, 0.11688604205846786]","[0.6086340546607971, 0.2892352044582367, -0.19860592484474182]","[0.583304226398468, 0.3337395489215851, 0.1227988600730896]","[0.6247050166130066, 0.29562661051750183, -0.22805945575237274]","[0.584938645362854, 0.330285906791687, 0.09432651847600937]","[0.6253618597984314, 0.2900901138782501, -0.20581941306591034]","[0.5841661691665649, 0.3297373652458191, 0.10325442254543304]","[0.6197335720062256, 0.29068195819854736, -0.19002264738082886]","[0.4781748354434967, 0.4698449969291687, 0.07873256504535675]","[0.47988882660865784, 0.47347167134284973, -0.07886755466461182]","[0.47609347105026245, 0.6090614199638367, 0.16619986295700073]","[0.4712584614753723, 0.6256717443466187, -0.011172277852892876]","[0.4624837040901184, 0.7325198650360107, 0.27648645639419556]","[0.4554276466369629, 0.7670720219612122, 0.07894350588321686]","[0.4543824791908264, 0.7559447288513184, 0.28613972663879395]","[0.4465257525444031, 0.7950142621994019, 0.08559517562389374]","[0.49201861023902893, 0.7626844644546509, 0.2550254166126251]","[0.49207767844200134, 0.7984341382980347, 0.030022267252206802]"
