NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX
"[0.49104252457618713, 0.2018384337425232, -0.18425536155700684]","[0.4948776364326477, 0.18765947222709656, -0.16975145041942596]","[0.49797338247299194, 0.1871926486492157, -0.16975471377372742]","[0.5010208487510681, 0.18689385056495667, -0.1697462648153305]","[0.48547324538230896, 0.18960338830947876, -0.16756591200828552]","[0.4821693003177643, 0.190612331032753, -0.16756989061832428]","[0.4794207513332367, 0.19169236719608307, -0.16752809286117554]","[0.5051602721214294, 0.1927744746208191, -0.09113917499780655]","[0.476510614156723, 0.19847311079502106, -0.07978277653455734]","[0.49819499254226685, 0.21775588393211365, -0.1562439352273941]","[0.4861389100551605, 0.21803516149520874, -0.15277376770973206]","[0.5259122848510742, 0.2771841287612915, -0.09834980964660645]","[0.45817089080810547, 0.28506189584732056, -0.07059354335069656]","[0.5405116081237793, 0.23747049272060394, -0.27996182441711426]","[0.4257723391056061, 0.24640700221061707, -0.23725292086601257]","[0.5512233972549438, 0.20245927572250366, -0.4553079605102539]","[0.411921888589859, 0.17100456357002258, -0.4095119833946228]","[0.562637448310852, 0.17748576402664185, -0.4959878921508789]","[0.40186136960983276, 0.1427893042564392, -0.45127731561660767]","[0.5566595792770386, 0.17438781261444092, -0.4960748553276062]","[0.40454214811325073, 0.1383441686630249, -0.4453297555446625]","[0.5497031807899475, 0.1897449642419815, -0.46274107694625854]","[0.41007956862449646, 0.15063223242759705, -0.41550445556640625]","[0.5070865154266357, 0.5141263008117676, -0.006372585892677307]","[0.46284762024879456, 0.5104758739471436, 0.0062599992379546165]","[0.5077263712882996, 0.6442803144454956, 0.07075991481542587]","[0.45140713453292847, 0.6445666551589966, 0.07309893518686295]","[0.5075334906578064, 0.7566738724708557, 0.2365451157093048]","[0.448737233877182, 0.7631486058235168, 0.2286953181028366]","[0.504507839679718, 0.7692336440086365, 0.24849393963813782]","[0.45284709334373474, 0.7757382988929749, 0.23982083797454834]","[0.5111173391342163, 0.8136570453643799, 0.16520069539546967]","[0.44001874327659607, 0.818465530872345, 0.1597089171409607]"
"[0.490123450756073, 0.20187687873840332, -0.16180934011936188]","[0.49394330382347107, 0.18769797682762146, -0.14795295894145966]","[0.49713796377182007, 0.1872093379497528, -0.14795710146427155]","[0.5002152323722839, 0.18690957129001617, -0.1479514092206955]","[0.4844147264957428, 0.18984241783618927, -0.14559206366539001]","[0.4812798500061035, 0.19077914953231812, -0.145600363612175]","[0.47859373688697815, 0.19177915155887604, -0.14556556940078735]","[0.5043689012527466, 0.19277699291706085, -0.07278783619403839]","[0.4763522744178772, 0.19848425686359406, -0.06039612740278244]","[0.49783745408058167, 0.21761566400527954, -0.1344972848892212]","[0.4856337010860443, 0.21796226501464844, -0.13080862164497375]","[0.5259033441543579, 0.2771793007850647, -0.07516513764858246]","[0.4583553671836853, 0.2842543125152588, -0.04947322607040405]","[0.5412038564682007, 0.23254118859767914, -0.2309870421886444]","[0.42564740777015686, 0.24731600284576416, -0.19299687445163727]","[0.5517845153808594, 0.19517119228839874, -0.3834664821624756]","[0.41191530227661133, 0.1679968535900116, -0.347172349691391]","[0.5625657439231873, 0.1726609170436859, -0.41766589879989624]","[0.40186458826065063, 0.14161193370819092, -0.38574379682540894]","[0.5568457245826721, 0.16907621920108795, -0.4185088574886322]","[0.4045499861240387, 0.13710765540599823, -0.37778034806251526]","[0.5505726933479309, 0.17947052419185638, -0.39031097292900085]","[0.41003695130348206, 0.14810584485530853, -0.3513299524784088]","[0.5068904161453247, 0.5142897963523865, -0.007140014320611954]","[0.4628620147705078, 0.5102008581161499, 0.007012254558503628]","[0.5070925951004028, 0.6454418897628784, 0.0592544861137867]","[0.45141109824180603, 0.6444756984710693, 0.07082720100879669]","[0.5071835517883301, 0.7558800578117371, 0.21828334033489227]","[0.44900721311569214, 0.7629789710044861, 0.2119126319885254]","[0.5042558312416077, 0.7665269374847412, 0.2299094945192337]","[0.4531416893005371, 0.7749318480491638, 0.22196146845817566]","[0.5092312097549438, 0.813200831413269, 0.1498592644929886]","[0.44009917974472046, 0.8187237977981567, 0.14615273475646973]"
"[0.48981204628944397, 0.20189712941646576, -0.1572604477405548]","[0.4935770630836487, 0.18772220611572266, -0.14322862029075623]","[0.49679818749427795, 0.1872226744890213, -0.14323340356349945]","[0.49987155199050903, 0.18692559003829956, -0.14323022961616516]","[0.4839537739753723, 0.19000476598739624, -0.1410703957080841]","[0.4808453917503357, 0.19090625643730164, -0.14107686281204224]","[0.47815650701522827, 0.19185727834701538, -0.14103756844997406]","[0.5039429664611816, 0.19278757274150848, -0.06798450648784637]","[0.4762226939201355, 0.19851483404636383, -0.05640687420964241]","[0.4977414608001709, 0.2175217717885971, -0.12991012632846832]","[0.48540717363357544, 0.21790137887001038, -0.1264665573835373]","[0.525886058807373, 0.27717241644859314, -0.07127890735864639]","[0.45838722586631775, 0.28381502628326416, -0.04517507925629616]","[0.541547417640686, 0.2307538390159607, -0.22456100583076477]","[0.42548590898513794, 0.24730753898620605, -0.18710020184516907]","[0.5525341629981995, 0.19221816956996918, -0.375110000371933]","[0.41186007857322693, 0.16479840874671936, -0.33919668197631836]","[0.5626171827316284, 0.17111077904701233, -0.40927034616470337]","[0.40184587240219116, 0.13935519754886627, -0.3775513470172882]","[0.5573919415473938, 0.16705988347530365, -0.4106842875480652]","[0.404488742351532, 0.13501238822937012, -0.36979109048843384]","[0.5518208742141724, 0.1758367270231247, -0.38219887018203735]","[0.4098023772239685, 0.14535509049892426, -0.3435216546058655]","[0.5067775845527649, 0.5143967270851135, -0.007797532714903355]","[0.46286138892173767, 0.5099495649337769, 0.007665361277759075]","[0.5067625045776367, 0.6460345387458801, 0.05587800219655037]","[0.45141124725341797, 0.6443887948989868, 0.07086145132780075]","[0.506915271282196, 0.7552637457847595, 0.21219465136528015]","[0.4492075443267822, 0.7628244757652283, 0.2112683355808258]","[0.5040764808654785, 0.7648869156837463, 0.22350211441516876]","[0.4534229338169098, 0.7743686437606812, 0.2212410420179367]","[0.5079503655433655, 0.8128747940063477, 0.1424327790737152]","[0.44013676047325134, 0.8188327550888062, 0.14538434147834778]"
"[0.48970919847488403, 0.201933816075325, -0.15476049482822418]","[0.4934261739253998, 0.18775047361850739, -0.1405119150876999]","[0.4966570734977722, 0.187234565615654, -0.14051520824432373]","[0.4997352957725525, 0.1869352161884308, -0.14051109552383423]","[0.48375439643859863, 0.1901726871728897, -0.13840502500534058]","[0.4806414246559143, 0.1910497099161148, -0.13840872049331665]","[0.47794094681739807, 0.1919635534286499, -0.13836821913719177]","[0.5037776827812195, 0.1927950084209442, -0.06525789201259613]","[0.47612276673316956, 0.19856075942516327, -0.05419163033366203]","[0.49773725867271423, 0.21748436987400055, -0.1275797188282013]","[0.48536068201065063, 0.21788382530212402, -0.12428094446659088]","[0.5258864164352417, 0.2771815359592438, -0.07089264690876007]","[0.4584409296512604, 0.2835438847541809, -0.04341261461377144]","[0.5413402318954468, 0.23466108739376068, -0.22767123579978943]","[0.425396203994751, 0.247300386428833, -0.18892395496368408]","[0.5528785586357117, 0.19282591342926025, -0.37950703501701355]","[0.41180428862571716, 0.16377559304237366, -0.3421782851219177]","[0.5629696846008301, 0.17122289538383484, -0.4137052893638611]","[0.4018298089504242, 0.13834460079669952, -0.3801814913749695]","[0.5580354928970337, 0.16726350784301758, -0.4149962365627289]","[0.40443935990333557, 0.1338968425989151, -0.37237611413002014]","[0.5528297424316406, 0.17704911530017853, -0.3863360285758972]","[0.40963444113731384, 0.1441512256860733, -0.3465665280818939]","[0.5067487955093384, 0.5147103071212769, -0.00818709097802639]","[0.4628554880619049, 0.5099480152130127, 0.00805594027042389]","[0.5065938830375671, 0.646734893321991, 0.05330703780055046]","[0.4514012336730957, 0.6444157361984253, 0.0676087960600853]","[0.5067368149757385, 0.7550116777420044, 0.20973806083202362]","[0.44939175248146057, 0.7628083825111389, 0.20253655314445496]","[0.5038921236991882, 0.7640537023544312, 0.22100648283958435]","[0.45366257429122925, 0.774143636226654, 0.21193678677082062]","[0.5073164701461792, 0.8128547668457031, 0.14041292667388916]","[0.4401792585849762, 0.8191558718681335, 0.13713198900222778]"
"[0.4896816313266754, 0.2019997537136078, -0.1550937443971634]","[0.49337536096572876, 0.18779587745666504, -0.1407594382762909]","[0.4966053366661072, 0.18725647032260895, -0.1407618224620819]","[0.49968472123146057, 0.1869518756866455, -0.14075665175914764]","[0.48369961977005005, 0.19034703075885773, -0.13856014609336853]","[0.4805793762207031, 0.19120456278324127, -0.13856203854084015]","[0.4778733253479004, 0.1920880377292633, -0.13852079212665558]","[0.5037134885787964, 0.1928221434354782, -0.06541721522808075]","[0.4760761260986328, 0.1986236572265625, -0.05404876545071602]","[0.49773916602134705, 0.21747931838035583, -0.127938911318779]","[0.4853579103946686, 0.21788202226161957, -0.1245623454451561]","[0.525886058807373, 0.27720504999160767, -0.07251814752817154]","[0.4585048258304596, 0.28335490822792053, -0.0432252362370491]","[0.5409920811653137, 0.2385202795267105, -0.2315915822982788]","[0.42533475160598755, 0.2471103072166443, -0.18954657018184662]","[0.5529693365097046, 0.19334718585014343, -0.38423219323158264]","[0.41174373030662537, 0.163168802857399, -0.3427281677722931]","[0.5630108118057251, 0.17171303927898407, -0.4187968671321869]","[0.40179237723350525, 0.13773079216480255, -0.3807598948478699]","[0.5583681464195251, 0.16747570037841797, -0.42003434896469116]","[0.40434885025024414, 0.13318245112895966, -0.37312251329421997]","[0.5529657602310181, 0.17792491614818573, -0.39099326729774475]","[0.4094392657279968, 0.14339613914489746, -0.3472735285758972]","[0.5067235827445984, 0.5149560570716858, -0.008669352158904076]","[0.46284690499305725, 0.5099518895149231, 0.00853980053216219]","[0.5064796209335327, 0.6471201777458191, 0.053192395716905594]","[0.45136332511901855, 0.6444556713104248, 0.06638267636299133]","[0.5066348314285278, 0.7549514770507812, 0.2117653340101242]","[0.449556440114975, 0.7627941370010376, 0.20192356407642365]","[0.5037625432014465, 0.7635855078697205, 0.22321203351020813]","[0.4538467526435852, 0.7739717364311218, 0.21133284270763397]","[0.5070230960845947, 0.8128561973571777, 0.14206263422966003]","[0.44023260474205017, 0.819500207901001, 0.1360710710287094]"
"[0.489607572555542, 0.2020075023174286, -0.1568433940410614]","[0.4932941794395447, 0.1878008097410202, -0.14249154925346375]","[0.4965306222438812, 0.18725807964801788, -0.1424955129623413]","[0.49961814284324646, 0.1869533807039261, -0.14249137043952942]","[0.48359352350234985, 0.1904110312461853, -0.1401435285806656]","[0.4804844260215759, 0.19126735627651215, -0.1401466429233551]","[0.4777805805206299, 0.19213972985744476, -0.1401056945323944]","[0.5036614537239075, 0.19282548129558563, -0.06670285761356354]","[0.4760451316833496, 0.19866658747196198, -0.05454965680837631]","[0.4977242946624756, 0.21742579340934753, -0.12948258221149445]","[0.4853181838989258, 0.21786102652549744, -0.12589098513126373]","[0.5258859395980835, 0.2772136330604553, -0.07323925197124481]","[0.4586641192436218, 0.2833198308944702, -0.044083595275878906]","[0.5409305691719055, 0.2387886643409729, -0.23094511032104492]","[0.42533570528030396, 0.24699516594409943, -0.19107869267463684]","[0.5533883571624756, 0.19265557825565338, -0.3814007341861725]","[0.41172653436660767, 0.16310153901576996, -0.34591442346572876]","[0.5636152029037476, 0.1712559163570404, -0.415907621383667]","[0.40175381302833557, 0.13775396347045898, -0.38469502329826355]","[0.5590124726295471, 0.16719511151313782, -0.41760292649269104]","[0.40428924560546875, 0.13323089480400085, -0.37710681557655334]","[0.5542595982551575, 0.17611640691757202, -0.38846316933631897]","[0.4092632830142975, 0.14341498911380768, -0.35057738423347473]","[0.5067223906517029, 0.5151865482330322, -0.008915938436985016]","[0.46283674240112305, 0.5099825859069824, 0.008787227794528008]","[0.506428599357605, 0.6472620964050293, 0.05140917748212814]","[0.45128750801086426, 0.6444581151008606, 0.06682457029819489]","[0.5065864324569702, 0.7548940777778625, 0.21283967792987823]","[0.4496903419494629, 0.7627860903739929, 0.20617425441741943]","[0.5036910772323608, 0.7633148431777954, 0.22450867295265198]","[0.4540041387081146, 0.7738087177276611, 0.216011643409729]","[0.5069185495376587, 0.8128573298454285, 0.1424792855978012]","[0.4402480125427246, 0.8197764754295349, 0.13932916522026062]"
"[0.48947763442993164, 0.20196247100830078, -0.15878966450691223]","[0.4931989312171936, 0.18776844441890717, -0.14455153048038483]","[0.4964505732059479, 0.18721389770507812, -0.14455461502075195]","[0.49955296516418457, 0.18691223859786987, -0.14454804360866547]","[0.483454167842865, 0.19041095674037933, -0.14207306504249573]","[0.48036718368530273, 0.19126684963703156, -0.1420784294605255]","[0.4776788353919983, 0.19213370978832245, -0.14203956723213196]","[0.5036394000053406, 0.19279983639717102, -0.06863365322351456]","[0.4759954810142517, 0.1986670345067978, -0.05588606745004654]","[0.4976688027381897, 0.21722714602947235, -0.1314241886138916]","[0.4852406084537506, 0.21766668558120728, -0.12766003608703613]","[0.5258923172950745, 0.2772403955459595, -0.07474516332149506]","[0.458748996257782, 0.2831609547138214, -0.04650730639696121]","[0.5413484573364258, 0.2350231111049652, -0.23607054352760315]","[0.42540329694747925, 0.24711214005947113, -0.19688569009304047]","[0.5538746118545532, 0.19150684773921967, -0.3901130259037018]","[0.4117249846458435, 0.16322922706604004, -0.3536076545715332]","[0.5644950270652771, 0.1705860048532486, -0.42530375719070435]","[0.40169915556907654, 0.13814370334148407, -0.3920391798019409]","[0.5598251819610596, 0.16655340790748596, -0.42671340703964233]","[0.40422624349594116, 0.13421562314033508, -0.3850420117378235]","[0.5552069544792175, 0.17454490065574646, -0.3972538411617279]","[0.4092063307762146, 0.1437838077545166, -0.3584803640842438]","[0.5065912008285522, 0.5152478814125061, -0.008905253373086452]","[0.462801069021225, 0.5099764466285706, 0.00877593643963337]","[0.5064490437507629, 0.6479927897453308, 0.051018793135881424]","[0.4510016441345215, 0.6442881226539612, 0.0664418563246727]","[0.5065792798995972, 0.7547069787979126, 0.21482141315937042]","[0.44981521368026733, 0.7623633742332458, 0.2084115445613861]","[0.5036903023719788, 0.7624350786209106, 0.22657732665538788]","[0.4541582465171814, 0.7728893756866455, 0.2184056043624878]","[0.5069504976272583, 0.8128684759140015, 0.14454782009124756]","[0.44027161598205566, 0.8198035955429077, 0.14068569242954254]"
"[0.4892229437828064, 0.2017890065908432, -0.15873044729232788]","[0.49302586913108826, 0.18764959275722504, -0.14471493661403656]","[0.49630922079086304, 0.18708208203315735, -0.14471805095672607]","[0.49944567680358887, 0.1867969036102295, -0.1447136551141739]","[0.48317527770996094, 0.19035638868808746, -0.14235670864582062]","[0.4801426827907562, 0.19121631979942322, -0.14236360788345337]","[0.4774842858314514, 0.19206523895263672, -0.14232686161994934]","[0.5036253333091736, 0.19273056089878082, -0.06872779130935669]","[0.47588664293289185, 0.19861260056495667, -0.05637292191386223]","[0.49750518798828125, 0.21702957153320312, -0.13121435046195984]","[0.4849788546562195, 0.21743394434452057, -0.1275651901960373]","[0.5259218215942383, 0.2771190106868744, -0.07062921673059464]","[0.45874732732772827, 0.28301602602005005, -0.04789673537015915]","[0.5429891347885132, 0.2257004827260971, -0.2280799150466919]","[0.42545801401138306, 0.24795712530612946, -0.19948610663414001]","[0.5540846586227417, 0.18925856053829193, -0.3758808970451355]","[0.4119335114955902, 0.16561725735664368, -0.35828733444213867]","[0.5647748708724976, 0.1697508543729782, -0.4096401333808899]","[0.40186697244644165, 0.1406465470790863, -0.39736396074295044]","[0.5600846409797668, 0.1664123237133026, -0.40945085883140564]","[0.4044937491416931, 0.13754406571388245, -0.39036649465560913]","[0.5551035404205322, 0.17518948018550873, -0.3823217749595642]","[0.4094001352787018, 0.1463419497013092, -0.3632611930370331]","[0.506388783454895, 0.5152615308761597, -0.0084157045930624]","[0.4627161920070648, 0.5098587274551392, 0.008282957598567009]","[0.5065668821334839, 0.6483938694000244, 0.047343526035547256]","[0.450717031955719, 0.6441062688827515, 0.06591644883155823]","[0.5065743923187256, 0.7545318603515625, 0.20925652980804443]","[0.4499402940273285, 0.7613610029220581, 0.2096349447965622]","[0.5036863088607788, 0.7617430090904236, 0.22108550369739532]","[0.4542919099330902, 0.7712653279304504, 0.21975383162498474]","[0.5070070624351501, 0.8128691911697388, 0.14044417440891266]","[0.44030052423477173, 0.8197479248046875, 0.14170542359352112]"
"[0.48871707916259766, 0.2016458511352539, -0.15918317437171936]","[0.49248963594436646, 0.18763232231140137, -0.14516811072826385]","[0.49580463767051697, 0.1870552897453308, -0.14517322182655334]","[0.4989748001098633, 0.18677696585655212, -0.14517134428024292]","[0.48264050483703613, 0.19035719335079193, -0.14256158471107483]","[0.47970327734947205, 0.19122283160686493, -0.1425686776638031]","[0.47711509466171265, 0.19207094609737396, -0.1425313651561737]","[0.503441333770752, 0.1927386373281479, -0.06947401165962219]","[0.4756692051887512, 0.1986197829246521, -0.05593947321176529]","[0.49693751335144043, 0.21681232750415802, -0.13185065984725952]","[0.4843560755252838, 0.21735996007919312, -0.1278553158044815]","[0.5259145498275757, 0.27724942564964294, -0.07211659848690033]","[0.45861896872520447, 0.2835209369659424, -0.04851233959197998]","[0.5438715815544128, 0.22253453731536865, -0.22782881557941437]","[0.4251773953437805, 0.24822783470153809, -0.19954517483711243]","[0.554085373878479, 0.18801286816596985, -0.37092241644859314]","[0.41196656227111816, 0.16755859553813934, -0.355595201253891]","[0.5642534494400024, 0.16974152624607086, -0.404273122549057]","[0.4018305242061615, 0.140994131565094, -0.3948884606361389]","[0.5599597692489624, 0.16647036373615265, -0.4037211835384369]","[0.404390811920166, 0.13805148005485535, -0.3871379792690277]","[0.5546988248825073, 0.17534472048282623, -0.3770245909690857]","[0.40919026732444763, 0.14696112275123596, -0.3601732850074768]","[0.5058364868164062, 0.5154993534088135, -0.008397815749049187]","[0.4623984694480896, 0.5098739862442017, 0.008265477605164051]","[0.5069378018379211, 0.6483845710754395, 0.04876544326543808]","[0.45042842626571655, 0.6427887678146362, 0.06945712119340897]","[0.5064740180969238, 0.7535476684570312, 0.2114342451095581]","[0.4500509798526764, 0.7596150040626526, 0.22054605185985565]","[0.5034968852996826, 0.7601466774940491, 0.22302591800689697]","[0.45434489846229553, 0.7691122889518738, 0.2318020612001419]","[0.5070189237594604, 0.8127888441085815, 0.14096197485923767]","[0.4403115212917328, 0.8192926049232483, 0.15775218605995178]"
"[0.4879419207572937, 0.2036002278327942, -0.15638074278831482]","[0.4919204115867615, 0.18944141268730164, -0.14229603111743927]","[0.49532198905944824, 0.18883554637432098, -0.1423017531633377]","[0.4985862374305725, 0.1884525716304779, -0.14230550825595856]","[0.4820988178253174, 0.19175775349140167, -0.13887463510036469]","[0.4792674481868744, 0.19250424206256866, -0.13888347148895264]","[0.47678953409194946, 0.19326595962047577, -0.13884252309799194]","[0.503348171710968, 0.19467417895793915, -0.06830956041812897]","[0.47546738386154175, 0.19975627958774567, -0.051237694919109344]","[0.49604281783103943, 0.21866275370121002, -0.12999014556407928]","[0.483426958322525, 0.2195105254650116, -0.12498786300420761]","[0.5255306959152222, 0.2806214988231659, -0.07242622971534729]","[0.4584272801876068, 0.2856289744377136, -0.044786371290683746]","[0.5437924861907959, 0.2233494371175766, -0.22436222434043884]","[0.42479997873306274, 0.24832922220230103, -0.1913931965827942]","[0.5543068647384644, 0.1884300261735916, -0.3619474768638611]","[0.4117070734500885, 0.16813556849956512, -0.34386882185935974]","[0.5646389126777649, 0.1699868142604828, -0.39493101835250854]","[0.4008728563785553, 0.1410110741853714, -0.38313937187194824]","[0.5600157976150513, 0.16689085960388184, -0.3950115144252777]","[0.4026370644569397, 0.13797765970230103, -0.37461453676223755]","[0.5546191334724426, 0.17586053907871246, -0.3682062029838562]","[0.40769290924072266, 0.14696508646011353, -0.3484671413898468]","[0.5055302381515503, 0.5169042944908142, -0.008267366327345371]","[0.4620145261287689, 0.5113015174865723, 0.008139708079397678]","[0.507895290851593, 0.6494278907775879, 0.0441974475979805]","[0.44997382164001465, 0.64274001121521, 0.06752009689807892]","[0.5063832998275757, 0.7534376382827759, 0.21128389239311218]","[0.4502147138118744, 0.7590853571891785, 0.22014835476875305]","[0.5032774209976196, 0.7598453164100647, 0.2235299050807953]","[0.45454883575439453, 0.7685486078262329, 0.23106804490089417]","[0.5070351958274841, 0.8128222823143005, 0.1425805538892746]","[0.44031381607055664, 0.819083571434021, 0.1563270092010498]"
