NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX
"[0.4840630888938904, 0.19782742857933044, -0.15965071320533752]","[0.48782458901405334, 0.18503549695014954, -0.14572517573833466]","[0.49108392000198364, 0.18515482544898987, -0.145718514919281]","[0.49400171637535095, 0.1855972856283188, -0.14568571746349335]","[0.47845953702926636, 0.1856062114238739, -0.14366114139556885]","[0.47551852464675903, 0.18618005514144897, -0.14365069568157196]","[0.472919762134552, 0.18669193983078003, -0.14360201358795166]","[0.49786216020584106, 0.19185549020767212, -0.07077227532863617]","[0.4700574278831482, 0.19336774945259094, -0.05997786670923233]","[0.49124661087989807, 0.21260583400726318, -0.13288335502147675]","[0.4795469641685486, 0.2114194631576538, -0.12965242564678192]","[0.5168569087982178, 0.27841120958328247, -0.06445080786943436]","[0.4506515860557556, 0.27388471364974976, -0.055361442267894745]","[0.5285038948059082, 0.2614211142063141, -0.21675460040569305]","[0.42222166061401367, 0.2400120347738266, -0.19872069358825684]","[0.5477873682975769, 0.1945571005344391, -0.37497249245643616]","[0.4098503589630127, 0.1573960781097412, -0.34603628516197205]","[0.5609612464904785, 0.16890102624893188, -0.4095468521118164]","[0.3984954357147217, 0.12831562757492065, -0.38384485244750977]","[0.5576543211936951, 0.1650189757347107, -0.4114631712436676]","[0.4007541537284851, 0.12580910325050354, -0.3774561882019043]","[0.5520499348640442, 0.17458385229110718, -0.3823525011539459]","[0.4059061110019684, 0.1380501091480255, -0.3507802188396454]","[0.49541741609573364, 0.49624472856521606, 0.0013327415799722075]","[0.4531404376029968, 0.4918639361858368, -0.001397340907715261]","[0.5007613301277161, 0.6285916566848755, 0.0384799987077713]","[0.4416278898715973, 0.6247220039367676, 0.05402575805783272]","[0.49750176072120667, 0.7370418310165405, 0.1964879035949707]","[0.4427899420261383, 0.7403535842895508, 0.21040263772010803]","[0.4938510060310364, 0.745640754699707, 0.2077077329158783]","[0.4464851915836334, 0.7511152625083923, 0.22159025073051453]","[0.5023839473724365, 0.7943980693817139, 0.1260053664445877]","[0.4346540868282318, 0.7986857295036316, 0.14414173364639282]"
"[0.48407435417175293, 0.19780315458774567, -0.1588418185710907]","[0.48782452940940857, 0.1849377304315567, -0.14520087838172913]","[0.4910840392112732, 0.18501853942871094, -0.14520081877708435]","[0.4940040111541748, 0.185382679104805, -0.14518244564533234]","[0.4784519076347351, 0.18552277982234955, -0.14317089319229126]","[0.4755062162876129, 0.18610647320747375, -0.14316454529762268]","[0.47291168570518494, 0.18662318587303162, -0.14311906695365906]","[0.49786242842674255, 0.19117334485054016, -0.06999509781599045]","[0.4700581133365631, 0.1930292397737503, -0.05957096815109253]","[0.4913559556007385, 0.21259437501430511, -0.13177457451820374]","[0.4795703887939453, 0.21140426397323608, -0.12867672741413116]","[0.5169124603271484, 0.27748551964759827, -0.06459137052297592]","[0.45065218210220337, 0.27371543645858765, -0.053391046822071075]","[0.5297207236289978, 0.2555191218852997, -0.2168479859828949]","[0.42238226532936096, 0.24076488614082336, -0.1984809786081314]","[0.5478182435035706, 0.19455763697624207, -0.37523242831230164]","[0.4098730683326721, 0.15761587023735046, -0.34943899512290955]","[0.5609620809555054, 0.17182499170303345, -0.4103425145149231]","[0.39915990829467773, 0.12869301438331604, -0.38788285851478577]","[0.5585420727729797, 0.16658632457256317, -0.412379652261734]","[0.40155133605003357, 0.12576620280742645, -0.3813747763633728]","[0.5525787472724915, 0.17629893124103546, -0.3826765716075897]","[0.4065491259098053, 0.13789910078048706, -0.35416027903556824]","[0.49532294273376465, 0.4970107972621918, 0.0005710685509257019]","[0.4531090259552002, 0.49248164892196655, -0.0006658812053501606]","[0.5007110834121704, 0.628939688205719, 0.04581230506300926]","[0.441628634929657, 0.625031054019928, 0.050342537462711334]","[0.4974431097507477, 0.7379199266433716, 0.21236351132392883]","[0.44281473755836487, 0.7411571741104126, 0.1964743435382843]","[0.4938328266143799, 0.7476872205734253, 0.2250833958387375]","[0.4464336335659027, 0.7529513239860535, 0.2071772813796997]","[0.5022274851799011, 0.7945785522460938, 0.14611104130744934]","[0.4347666800022125, 0.7991953492164612, 0.1293548345565796]"
"[0.4840906262397766, 0.19779707491397858, -0.15815621614456177]","[0.48782506585121155, 0.18490687012672424, -0.14467492699623108]","[0.4910849928855896, 0.1849677562713623, -0.14468063414096832]","[0.4940081238746643, 0.18529516458511353, -0.1446727216243744]","[0.4784523546695709, 0.1855098456144333, -0.14261963963508606]","[0.47550639510154724, 0.18609975278377533, -0.142616868019104]","[0.4729143977165222, 0.18661881983280182, -0.14257434010505676]","[0.4978686273097992, 0.19080989062786102, -0.06946352869272232]","[0.4700838029384613, 0.19288624823093414, -0.058997742831707]","[0.4914703965187073, 0.21258315443992615, -0.1309625655412674]","[0.47962674498558044, 0.21139708161354065, -0.12784257531166077]","[0.5170153975486755, 0.2766443192958832, -0.06458927690982819]","[0.4507130980491638, 0.2736683189868927, -0.05177322030067444]","[0.5307027101516724, 0.25041207671165466, -0.21483369171619415]","[0.42245370149612427, 0.24162745475769043, -0.19589856266975403]","[0.5482848882675171, 0.19370825588703156, -0.37091928720474243]","[0.40988174080848694, 0.1578698605298996, -0.3493638336658478]","[0.5611840486526489, 0.1718146800994873, -0.40633711218833923]","[0.399655282497406, 0.12917818129062653, -0.3875584006309509]","[0.5594038367271423, 0.1667679101228714, -0.40882864594459534]","[0.40215104818344116, 0.12578877806663513, -0.3811086416244507]","[0.5534892678260803, 0.17621606588363647, -0.3785513639450073]","[0.40699273347854614, 0.13789725303649902, -0.3541033864021301]","[0.4951997399330139, 0.49746158719062805, 0.00015223750961013138]","[0.4530879855155945, 0.4928300082683563, -0.000261632347246632]","[0.5006616711616516, 0.6290414333343506, 0.047222018241882324]","[0.4416268765926361, 0.6251741051673889, 0.04881766065955162]","[0.4974266588687897, 0.7384926080703735, 0.21596118807792664]","[0.44283801317214966, 0.7416331171989441, 0.19543734192848206]","[0.4938293397426605, 0.7490368485450745, 0.22899813950061798]","[0.4463904798030853, 0.7538991570472717, 0.20631778240203857]","[0.5021709203720093, 0.7947344183921814, 0.15031644701957703]","[0.4348882734775543, 0.7996072769165039, 0.12810365855693817]"
"[0.48410099744796753, 0.1977965533733368, -0.15826533734798431]","[0.48782578110694885, 0.1848907321691513, -0.1448497325181961]","[0.49108654260635376, 0.1849403828382492, -0.1448575109243393]","[0.49401363730430603, 0.18524974584579468, -0.14485397934913635]","[0.47845253348350525, 0.18550141155719757, -0.14278247952461243]","[0.47550636529922485, 0.18609318137168884, -0.14278125762939453]","[0.4729161262512207, 0.1866115927696228, -0.14274007081985474]","[0.4978787899017334, 0.19058533012866974, -0.06951896846294403]","[0.47010284662246704, 0.19273191690444946, -0.05905483290553093]","[0.49154558777809143, 0.21257837116718292, -0.13098105788230896]","[0.4796540141105652, 0.2113906592130661, -0.12786445021629333]","[0.5170722603797913, 0.2762165367603302, -0.06533131748437881]","[0.4507555365562439, 0.2736101448535919, -0.05189809203147888]","[0.5311896800994873, 0.2492230236530304, -0.21540570259094238]","[0.422604501247406, 0.24262940883636475, -0.1962202787399292]","[0.548645555973053, 0.1928665190935135, -0.3715340495109558]","[0.4099065661430359, 0.1583491861820221, -0.3519871234893799]","[0.5614917278289795, 0.17175234854221344, -0.40753039717674255]","[0.3999994397163391, 0.12981374561786652, -0.3910236060619354]","[0.5600532293319702, 0.1667645424604416, -0.4103042185306549]","[0.4026058614253998, 0.12590660154819489, -0.3842143714427948]","[0.5541169047355652, 0.17587938904762268, -0.3793374001979828]","[0.4073713421821594, 0.13795903325080872, -0.3565981984138489]","[0.49511823058128357, 0.49788615107536316, -0.00011209200602024794]","[0.45306912064552307, 0.4931715130805969, -4.495243956625927e-06]","[0.5006422996520996, 0.6291600465774536, 0.048247553408145905]","[0.44162678718566895, 0.6252995133399963, 0.0489836260676384]","[0.49741655588150024, 0.7386225461959839, 0.21853980422019958]","[0.4428527355194092, 0.7418932318687439, 0.1975240856409073]","[0.4938260614871979, 0.7494159936904907, 0.23172028362751007]","[0.4463590979576111, 0.7542208433151245, 0.20855450630187988]","[0.5021144151687622, 0.7948407530784607, 0.15280333161354065]","[0.4349539875984192, 0.7998313307762146, 0.13037854433059692]"
"[0.4841081202030182, 0.1977919042110443, -0.15908339619636536]","[0.4878273606300354, 0.184866264462471, -0.1456570029258728]","[0.4910893440246582, 0.1849079579114914, -0.14566591382026672]","[0.49402061104774475, 0.18520504236221313, -0.14566570520401]","[0.47845274209976196, 0.18547998368740082, -0.14357711374759674]","[0.4755062460899353, 0.18607233464717865, -0.14357735216617584]","[0.4729171395301819, 0.18658702075481415, -0.1435365378856659]","[0.4978908598423004, 0.19045457243919373, -0.06995844095945358]","[0.47012272477149963, 0.19259054958820343, -0.059516601264476776]","[0.49159327149391174, 0.21256637573242188, -0.1316407471895218]","[0.4796695113182068, 0.21137741208076477, -0.12852522730827332]","[0.5171159505844116, 0.27599266171455383, -0.06631467491388321]","[0.45080557465553284, 0.27359268069267273, -0.052003584802150726]","[0.5314978361129761, 0.24886471033096313, -0.21681782603263855]","[0.4227810800075531, 0.24337410926818848, -0.198024183511734]","[0.5488865971565247, 0.19227555394172668, -0.3735669255256653]","[0.4099511206150055, 0.15895569324493408, -0.3555033802986145]","[0.5619919300079346, 0.17153921723365784, -0.4099787771701813]","[0.40027618408203125, 0.13056723773479462, -0.3950910270214081]","[0.5603898763656616, 0.1667373925447464, -0.41281357407569885]","[0.4029569625854492, 0.12618908286094666, -0.38816291093826294]","[0.5544586181640625, 0.17543578147888184, -0.3814913034439087]","[0.40767088532447815, 0.1381516456604004, -0.36009955406188965]","[0.4950462281703949, 0.49820831418037415, -0.00024120630405377597]","[0.4530535638332367, 0.49343499541282654, 0.00012159341713413596]","[0.5006343722343445, 0.629235565662384, 0.04890558123588562]","[0.44162517786026, 0.6253923773765564, 0.04923955351114273]","[0.49741190671920776, 0.7386813759803772, 0.22023534774780273]","[0.4428665041923523, 0.7420734167098999, 0.1987832635641098]","[0.4938255846500397, 0.7496047019958496, 0.23349504172801971]","[0.446328341960907, 0.754423975944519, 0.2097253054380417]","[0.5020703673362732, 0.7949137091636658, 0.1542971432209015]","[0.43500787019729614, 0.7999938726425171, 0.13189290463924408]"
"[0.4841160178184509, 0.1977836787700653, -0.1595952957868576]","[0.48782825469970703, 0.18483291566371918, -0.14617972075939178]","[0.4910907745361328, 0.1848657876253128, -0.14618882536888123]","[0.49402475357055664, 0.18514978885650635, -0.14618965983390808]","[0.47845301032066345, 0.18545545637607574, -0.14407584071159363]","[0.4755062460899353, 0.18604996800422668, -0.14407652616500854]","[0.4729180335998535, 0.18656283617019653, -0.14403535425662994]","[0.4978981614112854, 0.1903291642665863, -0.070335254073143]","[0.4701378345489502, 0.1924958974123001, -0.05981753394007683]","[0.4916397035121918, 0.21255242824554443, -0.13209585845470428]","[0.47968965768814087, 0.21136359870433807, -0.12895040214061737]","[0.5171615481376648, 0.2758225202560425, -0.06688351929187775]","[0.45086240768432617, 0.273579865694046, -0.05207950994372368]","[0.531730055809021, 0.24860697984695435, -0.2176676243543625]","[0.42294612526893616, 0.24397826194763184, -0.1988399475812912]","[0.5491252541542053, 0.19172737002372742, -0.3751366138458252]","[0.4099930226802826, 0.15932370722293854, -0.3564746379852295]","[0.5624704360961914, 0.17133881151676178, -0.4116532802581787]","[0.40047717094421387, 0.13097453117370605, -0.39614710211753845]","[0.5606350302696228, 0.16667184233665466, -0.41454529762268066]","[0.403198778629303, 0.12631921470165253, -0.3892599046230316]","[0.5547378659248352, 0.17500095069408417, -0.38313302397727966]","[0.40787070989608765, 0.13822993636131287, -0.36110159754753113]","[0.4949866235256195, 0.49839553236961365, -0.00032494525657966733]","[0.4530438780784607, 0.4936002492904663, 0.00020405833492986858]","[0.500633180141449, 0.6292887926101685, 0.049022383987903595]","[0.44162067770957947, 0.6254392862319946, 0.04929745942354202]","[0.4974120557308197, 0.7387555241584778, 0.21972520649433136]","[0.4428827166557312, 0.7421826720237732, 0.19885757565498352]","[0.49383053183555603, 0.749794065952301, 0.23287704586982727]","[0.44630464911460876, 0.754514217376709, 0.21005192399024963]","[0.5020641088485718, 0.794995903968811, 0.1533607840538025]","[0.43504762649536133, 0.8000777959823608, 0.13222070038318634]"
"[0.48412466049194336, 0.19777289032936096, -0.16034653782844543]","[0.4878304898738861, 0.18479256331920624, -0.1469699591398239]","[0.4910934865474701, 0.1848161518573761, -0.1469784528017044]","[0.4940299391746521, 0.1850864440202713, -0.14697837829589844]","[0.47845369577407837, 0.1854305863380432, -0.14482595026493073]","[0.4755063056945801, 0.18602821230888367, -0.14482678472995758]","[0.47291868925094604, 0.18654011189937592, -0.14478518068790436]","[0.49790507555007935, 0.1902167797088623, -0.07101558148860931]","[0.4701499938964844, 0.19243349134922028, -0.06032335013151169]","[0.4916812777519226, 0.21253740787506104, -0.13280482590198517]","[0.47970810532569885, 0.21135254204273224, -0.1295986920595169]","[0.517196536064148, 0.2756926715373993, -0.06754595041275024]","[0.45090585947036743, 0.27356982231140137, -0.05248834565281868]","[0.5319153666496277, 0.24835416674613953, -0.21913225948810577]","[0.42310237884521484, 0.24454569816589355, -0.20013952255249023]","[0.5493336915969849, 0.191377192735672, -0.37788325548171997]","[0.41006603837013245, 0.1598207652568817, -0.35840415954589844]","[0.562846302986145, 0.17105859518051147, -0.4144679605960846]","[0.40067166090011597, 0.13143417239189148, -0.3982688784599304]","[0.560828685760498, 0.16660505533218384, -0.4172896444797516]","[0.403425931930542, 0.12652508914470673, -0.3914455771446228]","[0.5549744367599487, 0.1746596395969391, -0.3858940899372101]","[0.4080776274204254, 0.13838592171669006, -0.3630797564983368]","[0.4949447512626648, 0.4985368549823761, -0.00040287134470418096]","[0.45303875207901, 0.49372023344039917, 0.0002814118633978069]","[0.5006357431411743, 0.6293396353721619, 0.049042072147130966]","[0.4416119158267975, 0.6254732012748718, 0.04948314651846886]","[0.49741131067276, 0.7387542128562927, 0.22116819024085999]","[0.4428878426551819, 0.7422609925270081, 0.19935813546180725]","[0.49383044242858887, 0.7497873902320862, 0.2345113456249237]","[0.4462721347808838, 0.7545754909515381, 0.21036675572395325]","[0.5020612478256226, 0.7950377464294434, 0.15527431666851044]","[0.4350818693637848, 0.8001703023910522, 0.13279449939727783]"
"[0.48412981629371643, 0.19821931421756744, -0.16408032178878784]","[0.4878362715244293, 0.18552444875240326, -0.15001437067985535]","[0.4911070764064789, 0.18571363389492035, -0.15002542734146118]","[0.4940544068813324, 0.1861426681280136, -0.15002724528312683]","[0.47845467925071716, 0.18585611879825592, -0.14845065772533417]","[0.47550660371780396, 0.18636277318000793, -0.14845052361488342]","[0.47292184829711914, 0.18681909143924713, -0.14839783310890198]","[0.4979647696018219, 0.1916448175907135, -0.07249222695827484]","[0.47014743089675903, 0.19291746616363525, -0.06417696923017502]","[0.4916834235191345, 0.21343834698200226, -0.13600875437259674]","[0.4797022342681885, 0.2120041698217392, -0.13351790606975555]","[0.5172586441040039, 0.27680012583732605, -0.06750638782978058]","[0.45090970396995544, 0.27477386593818665, -0.05900394916534424]","[0.5343455672264099, 0.23385584354400635, -0.2162756472826004]","[0.42336592078208923, 0.2452525496482849, -0.20545470714569092]","[0.5500425696372986, 0.18267691135406494, -0.370304673910141]","[0.4102908670902252, 0.15967364609241486, -0.3641871213912964]","[0.5640468001365662, 0.16065968573093414, -0.4071388244628906]","[0.4007461667060852, 0.13138799369335175, -0.4054184854030609]","[0.5611685514450073, 0.16058553755283356, -0.40931805968284607]","[0.40343523025512695, 0.12635770440101624, -0.3995613753795624]","[0.5551879405975342, 0.166349396109581, -0.37844815850257874]","[0.4081782400608063, 0.13812316954135895, -0.3694826066493988]","[0.49492207169532776, 0.49864456057548523, 0.0002327952824998647]","[0.4530465602874756, 0.49372780323028564, -0.0003451760276220739]","[0.5010453462600708, 0.629610002040863, 0.04837924987077713]","[0.44168582558631897, 0.6247838735580444, 0.0547017864882946]","[0.4974164068698883, 0.7378594279289246, 0.2191355973482132]","[0.442889541387558, 0.741495668888092, 0.22262850403785706]","[0.4938298165798187, 0.7490867376327515, 0.23233377933502197]","[0.44618669152259827, 0.7532551288604736, 0.2356189489364624]","[0.5020803809165955, 0.7937331199645996, 0.15255106985569]","[0.4358247220516205, 0.7999184727668762, 0.15577402710914612]"
"[0.4838070869445801, 0.1994098275899887, -0.1666053831577301]","[0.48776644468307495, 0.18719755113124847, -0.15170013904571533]","[0.4910605549812317, 0.18749412894248962, -0.15170729160308838]","[0.49404531717300415, 0.18804574012756348, -0.15170536935329437]","[0.4782659113407135, 0.18716275691986084, -0.14950980246067047]","[0.4753202795982361, 0.18741802871227264, -0.14950516819953918]","[0.4727241098880768, 0.1877281814813614, -0.14944417774677277]","[0.49800533056259155, 0.1944163590669632, -0.0735749751329422]","[0.469965398311615, 0.19428427517414093, -0.06387291103601456]","[0.49129781126976013, 0.21489784121513367, -0.1387639045715332]","[0.4790245592594147, 0.21330863237380981, -0.1354023963212967]","[0.5172796845436096, 0.2787836194038391, -0.07240423560142517]","[0.450253963470459, 0.27663204073905945, -0.05894108861684799]","[0.5332140326499939, 0.23600062727928162, -0.22395126521587372]","[0.42246899008750916, 0.2451440840959549, -0.206644207239151]","[0.550032913684845, 0.18301866948604584, -0.37816500663757324]","[0.4102962613105774, 0.15717169642448425, -0.3630962669849396]","[0.5643313527107239, 0.16087733209133148, -0.4154995381832123]","[0.4005410671234131, 0.12883791327476501, -0.4043552279472351]","[0.5612307190895081, 0.15993629395961761, -0.4182296395301819]","[0.40280264616012573, 0.12485762685537338, -0.3973616063594818]","[0.5556291937828064, 0.16662739217281342, -0.38665658235549927]","[0.4076535701751709, 0.1354551911354065, -0.368233859539032]","[0.49492010474205017, 0.49956652522087097, 0.00021909092902205884]","[0.4530455470085144, 0.4947091042995453, -0.0003282242687419057]","[0.5029475092887878, 0.6302555203437805, 0.04591719061136246]","[0.4416298270225525, 0.6248726844787598, 0.057219285517930984]","[0.497462660074234, 0.7357379198074341, 0.2279079407453537]","[0.4429808557033539, 0.740389347076416, 0.2350921630859375]","[0.49386066198349, 0.7465320825576782, 0.24278588593006134]","[0.4461918771266937, 0.751377522945404, 0.24886898696422577]","[0.5021249651908875, 0.791277289390564, 0.1621917188167572]","[0.43622174859046936, 0.7984948754310608, 0.16900089383125305]"
"[0.483712375164032, 0.2072177231311798, -0.16414737701416016]","[0.48770833015441895, 0.1954668015241623, -0.14738498628139496]","[0.4909915328025818, 0.19585494697093964, -0.14739428460597992]","[0.4939854145050049, 0.19647638499736786, -0.1474131941795349]","[0.47818484902381897, 0.19447889924049377, -0.14545278251171112]","[0.4751726984977722, 0.19444313645362854, -0.1454484760761261]","[0.4725256860256195, 0.19467748701572418, -0.14538273215293884]","[0.49800509214401245, 0.20322293043136597, -0.06903516501188278]","[0.46979808807373047, 0.20192758738994598, -0.05979973077774048]","[0.4908025860786438, 0.22285671532154083, -0.13689233362674713]","[0.4785507619380951, 0.2217942774295807, -0.13389840722084045]","[0.5172255635261536, 0.28880080580711365, -0.07183639705181122]","[0.4492369294166565, 0.2844269871711731, -0.05822346359491348]","[0.5326546430587769, 0.2658078372478485, -0.21480348706245422]","[0.4213792681694031, 0.24802403151988983, -0.20022928714752197]","[0.5506410598754883, 0.19011828303337097, -0.35511305928230286]","[0.41004443168640137, 0.1579161137342453, -0.3415321707725525]","[0.5664320588111877, 0.16410450637340546, -0.3893832564353943]","[0.3998992145061493, 0.1287115067243576, -0.38031595945358276]","[0.5626269578933716, 0.16183754801750183, -0.39083120226860046]","[0.4018884599208832, 0.12497011572122574, -0.37222760915756226]","[0.5572282075881958, 0.17030739784240723, -0.362724244594574]","[0.4068068563938141, 0.13559961318969727, -0.34628796577453613]","[0.49491921067237854, 0.5042243599891663, 0.0002574529789853841]","[0.4530400335788727, 0.4989999234676361, -0.000362623599357903]","[0.5042944550514221, 0.6322252154350281, 0.043970756232738495]","[0.44161152839660645, 0.6263478398323059, 0.06018052250146866]","[0.4975672662258148, 0.7334479689598083, 0.22499902546405792]","[0.4430437982082367, 0.7400525212287903, 0.2361765205860138]","[0.4939848780632019, 0.7430809736251831, 0.2394072711467743]","[0.44619089365005493, 0.7509011030197144, 0.24963518977165222]","[0.5021483302116394, 0.7886388301849365, 0.15873399376869202]","[0.436303049325943, 0.7957409620285034, 0.17066118121147156]"
