NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX
"[0.5105754733085632, 0.16724839806556702, -0.2830182909965515]","[0.527379035949707, 0.15261319279670715, -0.3264443576335907]","[0.5326436161994934, 0.1527906358242035, -0.3266574740409851]","[0.5387496948242188, 0.1530173122882843, -0.32664892077445984]","[0.519792914390564, 0.15201768279075623, -0.25173452496528625]","[0.5198607444763184, 0.1515861451625824, -0.25177356600761414]","[0.5201846361160278, 0.15106013417243958, -0.2517789900302887]","[0.5751811265945435, 0.16116562485694885, -0.40748414397239685]","[0.5561251640319824, 0.15855109691619873, -0.0729505643248558]","[0.5237348675727844, 0.18303075432777405, -0.3026086091995239]","[0.5150530934333801, 0.18303459882736206, -0.2051779180765152]","[0.6176509857177734, 0.2438449114561081, -0.5899075865745544]","[0.5497414469718933, 0.24761554598808289, 0.20765303075313568]","[0.41525352001190186, 0.26282596588134766, -0.7449368238449097]","[0.36990827322006226, 0.2693430781364441, 0.3794999420642853]","[0.21714362502098083, 0.24449750781059265, -0.7495999932289124]","[0.20815399289131165, 0.2527625560760498, 0.2769401967525482]","[0.16008251905441284, 0.2470252513885498, -0.845433235168457]","[0.1556161642074585, 0.25382041931152344, 0.2636530101299286]","[0.14911091327667236, 0.24084138870239258, -0.8066346049308777]","[0.15030348300933838, 0.24956218898296356, 0.18667957186698914]","[0.1672160029411316, 0.24056024849414825, -0.7332906126976013]","[0.16547000408172607, 0.24935272336006165, 0.23510737717151642]","[0.5482451915740967, 0.4533917307853699, -0.22490401566028595]","[0.5063502788543701, 0.4455201029777527, 0.22433044016361237]","[0.5231356024742126, 0.5988600850105286, 0.06289894133806229]","[0.5031375885009766, 0.5785942077636719, 0.5652222633361816]","[0.5496177673339844, 0.7260984182357788, 0.3329564929008484]","[0.5449625849723816, 0.6871185302734375, 0.963751494884491]","[0.5763729810714722, 0.7562456130981445, 0.352937787771225]","[0.5684665441513062, 0.7006000876426697, 1.004828929901123]","[0.44211214780807495, 0.7546395063400269, 0.17459258437156677]","[0.44146910309791565, 0.7096121907234192, 0.936585009098053]"
"[0.5100683569908142, 0.16703735291957855, -0.2553062438964844]","[0.5270089507102966, 0.15259571373462677, -0.30226650834083557]","[0.5320326685905457, 0.15276798605918884, -0.3024761974811554]","[0.5376570820808411, 0.1529885232448578, -0.3024793267250061]","[0.5199412703514099, 0.1519661843776703, -0.22508284449577332]","[0.5205256938934326, 0.1515016108751297, -0.22511373460292816]","[0.5217148065567017, 0.15095148980617523, -0.22513721883296967]","[0.5722614526748657, 0.16119566559791565, -0.4073076546192169]","[0.5561427474021912, 0.15854310989379883, -0.06702534854412079]","[0.5234546661376953, 0.18273131549358368, -0.28673577308654785]","[0.5150788426399231, 0.18249285221099854, -0.18660424649715424]","[0.6170631647109985, 0.24532032012939453, -0.5897589921951294]","[0.5526309609413147, 0.24502234160900116, 0.20047955214977264]","[0.4121025502681732, 0.2661304771900177, -0.7293342351913452]","[0.3736743628978729, 0.26819366216659546, 0.342820942401886]","[0.20524302124977112, 0.24634642899036407, -0.7493797540664673]","[0.20525877177715302, 0.25309211015701294, 0.2560407519340515]","[0.14531868696212769, 0.24853725731372833, -0.8455345034599304]","[0.15093185007572174, 0.2540947198867798, 0.24602487683296204]","[0.13603806495666504, 0.24257811903953552, -0.8065818548202515]","[0.14180265367031097, 0.2501012682914734, 0.16527889668941498]","[0.1542651206254959, 0.2430015504360199, -0.7331394553184509]","[0.16105148196220398, 0.2506260573863983, 0.21296626329421997]","[0.5470325350761414, 0.4536202549934387, -0.22272616624832153]","[0.5064094662666321, 0.44551190733909607, 0.222169890999794]","[0.5230342149734497, 0.5989041924476624, 0.0425400473177433]","[0.5032287240028381, 0.5798332095146179, 0.5294051766395569]","[0.5495679378509521, 0.7277988195419312, 0.31672218441963196]","[0.5444526076316833, 0.6886923313140869, 0.9045335650444031]","[0.5764229893684387, 0.7566756010055542, 0.33803731203079224]","[0.5699467658996582, 0.7120286226272583, 0.9425303936004639]","[0.4415339529514313, 0.7570992708206177, 0.17101000249385834]","[0.4407532215118408, 0.7091201543807983, 0.8716627955436707]"
"[0.5093284845352173, 0.16703465580940247, -0.239696204662323]","[0.5264253616333008, 0.1526167094707489, -0.2873463034629822]","[0.5312644839286804, 0.15278252959251404, -0.2875480353832245]","[0.536516547203064, 0.1529960185289383, -0.2875416874885559]","[0.5199477672576904, 0.15197263658046722, -0.20965877175331116]","[0.5207298994064331, 0.15150193870067596, -0.20968858897686005]","[0.5223175883293152, 0.15094974637031555, -0.20971836149692535]","[0.5699484348297119, 0.16121989488601685, -0.4027554392814636]","[0.5561386942863464, 0.1585501730442047, -0.05724116414785385]","[0.5229501128196716, 0.18270665407180786, -0.2737220227718353]","[0.5150175094604492, 0.18240609765052795, -0.1728171706199646]","[0.617063581943512, 0.24592995643615723, -0.5857421159744263]","[0.5539419651031494, 0.24279005825519562, 0.20038440823554993]","[0.4120030403137207, 0.26822763681411743, -0.7169235944747925]","[0.37608981132507324, 0.2671571969985962, 0.3387680947780609]","[0.2038928121328354, 0.24762995541095734, -0.7423421144485474]","[0.20442922413349152, 0.2533418834209442, 0.2540094256401062]","[0.14226685464382172, 0.24942436814308167, -0.8387744426727295]","[0.1485266089439392, 0.25425803661346436, 0.24502050876617432]","[0.13324031233787537, 0.24375513195991516, -0.7987391352653503]","[0.13786809146404266, 0.2504788041114807, 0.16417469084262848]","[0.15192510187625885, 0.24464073777198792, -0.726240873336792]","[0.15886470675468445, 0.2515415847301483, 0.21093794703483582]","[0.5459897518157959, 0.45365625619888306, -0.2215205878019333]","[0.5063458681106567, 0.44546788930892944, 0.2209697961807251]","[0.5226065516471863, 0.5986173748970032, 0.025365477427840233]","[0.5032041668891907, 0.5798348784446716, 0.5150759220123291]","[0.5494158864021301, 0.7287482023239136, 0.28684866428375244]","[0.5438840389251709, 0.6891865134239197, 0.8830010890960693]","[0.5764032006263733, 0.7568807601928711, 0.3068656325340271]","[0.570225715637207, 0.7146949172019958, 0.9201587438583374]","[0.44083350896835327, 0.7583454847335815, 0.14198610186576843]","[0.44018256664276123, 0.7084258794784546, 0.8486529588699341]"
"[0.5082395076751709, 0.1679038256406784, -0.21646302938461304]","[0.5253448486328125, 0.15363579988479614, -0.26424717903137207]","[0.5302286744117737, 0.1537790447473526, -0.2644304037094116]","[0.535384476184845, 0.15395155549049377, -0.2644013464450836]","[0.5195223093032837, 0.1529303342103958, -0.18724076449871063]","[0.5205183029174805, 0.15246479213237762, -0.187265083193779]","[0.5222472548484802, 0.15187950432300568, -0.18727953732013702]","[0.5688213109970093, 0.16174019873142242, -0.3847951292991638]","[0.5553878545761108, 0.15896858274936676, -0.04030622914433479]","[0.5222645401954651, 0.18326237797737122, -0.25200575590133667]","[0.51442950963974, 0.18287427723407745, -0.15181678533554077]","[0.6169156432151794, 0.24590368568897247, -0.567545473575592]","[0.5552172660827637, 0.24251286685466766, 0.20328256487846375]","[0.41204380989074707, 0.26820746064186096, -0.6909129023551941]","[0.37595635652542114, 0.26670002937316895, 0.3415749967098236]","[0.20478643476963043, 0.24821177124977112, -0.7103785872459412]","[0.20445522665977478, 0.25369688868522644, 0.25644055008888245]","[0.14325496554374695, 0.24964001774787903, -0.8020555377006531]","[0.14724226295948029, 0.2543001174926758, 0.24691426753997803]","[0.13425715267658234, 0.24436704814434052, -0.7614774107933044]","[0.13693220913410187, 0.2509089410305023, 0.16578008234500885]","[0.15247181057929993, 0.24553966522216797, -0.6938536763191223]","[0.1577342301607132, 0.2523488402366638, 0.21350152790546417]","[0.5442690253257751, 0.4531250596046448, -0.21902184188365936]","[0.5062819123268127, 0.4448046088218689, 0.2184869796037674]","[0.5223007798194885, 0.5985435247421265, -0.010056935250759125]","[0.5030952095985413, 0.5798254609107971, 0.4837168753147125]","[0.5487939715385437, 0.7297906279563904, 0.2122533768415451]","[0.5429924726486206, 0.6903609037399292, 0.8279788494110107]","[0.5762444138526917, 0.7574268579483032, 0.22832925617694855]","[0.5701638460159302, 0.7164228558540344, 0.8622048497200012]","[0.4399133026599884, 0.7595435976982117, 0.06060663238167763]","[0.4393157958984375, 0.7084935903549194, 0.7866033911705017]"
"[0.5066019892692566, 0.16939425468444824, -0.22825844585895538]","[0.5238699316978455, 0.15531374514102936, -0.2755817770957947]","[0.5289819240570068, 0.1554534137248993, -0.2757718861103058]","[0.5342570543289185, 0.15561644732952118, -0.2757437527179718]","[0.5181565284729004, 0.15441593527793884, -0.198580801486969]","[0.5192005634307861, 0.1539425104856491, -0.1986095905303955]","[0.5209706425666809, 0.15337848663330078, -0.19862686097621918]","[0.5678539276123047, 0.16310881078243256, -0.38711902499198914]","[0.5534461736679077, 0.160103902220726, -0.044750478118658066]","[0.5210863947868347, 0.18425346910953522, -0.2609010338783264]","[0.5128548741340637, 0.18371689319610596, -0.1607535034418106]","[0.6162142157554626, 0.2460191696882248, -0.5686674118041992]","[0.5551744699478149, 0.24232003092765808, 0.20194701850414276]","[0.41057854890823364, 0.26812246441841125, -0.7017788290977478]","[0.3719802796840668, 0.2661973834037781, 0.33271390199661255]","[0.20540675520896912, 0.24887767434120178, -0.7172207236289978]","[0.20238298177719116, 0.25382572412490845, 0.24569256603717804]","[0.14345580339431763, 0.2501944899559021, -0.8096572160720825]","[0.14179663360118866, 0.2543512284755707, 0.23746982216835022]","[0.13398554921150208, 0.2451164275407791, -0.7697072625160217]","[0.1328696757555008, 0.25131621956825256, 0.15696901082992554]","[0.15197040140628815, 0.24669387936592102, -0.7008391618728638]","[0.15001130104064941, 0.25268062949180603, 0.20252512395381927]","[0.5418226718902588, 0.4530504643917084, -0.21912066638469696]","[0.5034443736076355, 0.44471126794815063, 0.21858376264572144]","[0.522010862827301, 0.5985246300697327, -0.010874288156628609]","[0.5016866326332092, 0.5798249244689941, 0.4838365912437439]","[0.5484484434127808, 0.7301450967788696, 0.22650636732578278]","[0.5413580536842346, 0.6914417147636414, 0.8327347636222839]","[0.5762086510658264, 0.7575249075889587, 0.24397046864032745]","[0.5654076337814331, 0.7148140668869019, 0.8669995665550232]","[0.43907827138900757, 0.7609295845031738, 0.07282742857933044]","[0.43730083107948303, 0.7088393568992615, 0.7860495448112488]"
"[0.5049863457679749, 0.16973982751369476, -0.23375757038593292]","[0.5222499370574951, 0.15561768412590027, -0.2811215817928314]","[0.5274354219436646, 0.15578879415988922, -0.28131774067878723]","[0.5327684879302979, 0.15598079562187195, -0.28129783272743225]","[0.5168410539627075, 0.15465441346168518, -0.20390459895133972]","[0.5179498791694641, 0.15417806804180145, -0.2039276361465454]","[0.5197629332542419, 0.1536114364862442, -0.20393945276737213]","[0.5664428472518921, 0.16354894638061523, -0.3877260088920593]","[0.551493763923645, 0.16035215556621552, -0.04703165590763092]","[0.5194385647773743, 0.1844182312488556, -0.2653946280479431]","[0.5112263560295105, 0.18380354344844818, -0.1649707406759262]","[0.6155462861061096, 0.24617484211921692, -0.5696624517440796]","[0.5551156997680664, 0.24192488193511963, 0.20203514397144318]","[0.40973424911499023, 0.26816636323928833, -0.7070735096931458]","[0.3720225989818573, 0.26591262221336365, 0.33802008628845215]","[0.20580607652664185, 0.24888959527015686, -0.7211552262306213]","[0.20275923609733582, 0.2539348304271698, 0.25037887692451477]","[0.14372995495796204, 0.25017887353897095, -0.8144318461418152]","[0.1421709954738617, 0.2543511986732483, 0.2441650778055191]","[0.1337881237268448, 0.24523453414440155, -0.7748492956161499]","[0.13234104216098785, 0.25135958194732666, 0.1630835235118866]","[0.1518094837665558, 0.24668268859386444, -0.7048980593681335]","[0.15068155527114868, 0.2527814209461212, 0.20674245059490204]","[0.5401292443275452, 0.4531124532222748, -0.21914513409137726]","[0.5011813044548035, 0.4447006583213806, 0.21861271560192108]","[0.5212288498878479, 0.5982540845870972, -0.0074793677777051926]","[0.49888691306114197, 0.5797469615936279, 0.497562438249588]","[0.5482720136642456, 0.7302135825157166, 0.22987011075019836]","[0.538314938545227, 0.6913632154464722, 0.8589455485343933]","[0.576212465763092, 0.7575355172157288, 0.24698087573051453]","[0.5602297186851501, 0.7142490148544312, 0.8949139714241028]","[0.4377848207950592, 0.7624610662460327, 0.07235643267631531]","[0.4353114366531372, 0.7090221047401428, 0.818587064743042]"
"[0.5032254457473755, 0.17025133967399597, -0.2368583232164383]","[0.5203556418418884, 0.15606625378131866, -0.28204992413520813]","[0.5254961848258972, 0.15624846518039703, -0.28224003314971924]","[0.5308516025543213, 0.15643706917762756, -0.2822137475013733]","[0.5153549909591675, 0.15508976578712463, -0.2070053666830063]","[0.5165863633155823, 0.15461763739585876, -0.2070349007844925]","[0.5184987187385559, 0.15406396985054016, -0.20704591274261475]","[0.5645755529403687, 0.1640794426202774, -0.4009007215499878]","[0.5501840114593506, 0.16081538796424866, -0.047152742743492126]","[0.5178527235984802, 0.18470212817192078, -0.2676442563533783]","[0.5099117755889893, 0.18405482172966003, -0.1667318046092987]","[0.6135184168815613, 0.24634429812431335, -0.5889963507652283]","[0.5550084710121155, 0.24180066585540771, 0.2020937204360962]","[0.40606069564819336, 0.2682223916053772, -0.7189331650733948]","[0.3721737861633301, 0.26588135957717896, 0.34088805317878723]","[0.20459415018558502, 0.2488546371459961, -0.727005660533905]","[0.2027972787618637, 0.25393781065940857, 0.2516835033893585]","[0.1423591673374176, 0.2499871551990509, -0.8213233947753906]","[0.1418502777814865, 0.2541132867336273, 0.24417120218276978]","[0.13207797706127167, 0.24521461129188538, -0.7828739881515503]","[0.1315600723028183, 0.2512965202331543, 0.16363579034805298]","[0.14937366545200348, 0.2465764582157135, -0.7110379338264465]","[0.15035080909729004, 0.252754807472229, 0.20828017592430115]","[0.5380116105079651, 0.45379677414894104, -0.22047197818756104]","[0.499811053276062, 0.44497784972190857, 0.21994660794734955]","[0.5201675891876221, 0.5983182787895203, 0.0008181451121345162]","[0.4970802664756775, 0.5798277854919434, 0.503344714641571]","[0.5480481386184692, 0.7302155494689941, 0.24666109681129456]","[0.5361092686653137, 0.6913160085678101, 0.8684238195419312]","[0.576237142086029, 0.757535994052887, 0.26427918672561646]","[0.560653030872345, 0.7160868048667908, 0.9054761528968811]","[0.4362976551055908, 0.7628946900367737, 0.08986733853816986]","[0.43371400237083435, 0.7090262770652771, 0.8317517042160034]"
"[0.5016044974327087, 0.17113812267780304, -0.22640323638916016]","[0.5186212658882141, 0.15692326426506042, -0.2733558118343353]","[0.5238913297653198, 0.15714897215366364, -0.27356499433517456]","[0.5293829441070557, 0.15736110508441925, -0.2735593914985657]","[0.5132212042808533, 0.1558920294046402, -0.1965656727552414]","[0.5142935514450073, 0.15540505945682526, -0.1965765655040741]","[0.5159733295440674, 0.1548634171485901, -0.1965772807598114]","[0.563124418258667, 0.16506442427635193, -0.38944488763809204]","[0.5479323863983154, 0.1615620255470276, -0.03917873278260231]","[0.516657292842865, 0.18541686236858368, -0.2585328221321106]","[0.5082948207855225, 0.1847088485956192, -0.157511368393898]","[0.6121088862419128, 0.24657344818115234, -0.5754687190055847]","[0.5537221431732178, 0.2418312132358551, 0.2081751674413681]","[0.40313827991485596, 0.26815879344940186, -0.6969358921051025]","[0.37213292717933655, 0.26587769389152527, 0.34683892130851746]","[0.2035304456949234, 0.24880924820899963, -0.6915441155433655]","[0.20278841257095337, 0.2539384663105011, 0.266496866941452]","[0.14076672494411469, 0.24964341521263123, -0.781545877456665]","[0.14062152802944183, 0.25379735231399536, 0.25819164514541626]","[0.13035401701927185, 0.24505695700645447, -0.7443341016769409]","[0.13030260801315308, 0.2511688768863678, 0.18120789527893066]","[0.14711228013038635, 0.24646051228046417, -0.6755735874176025]","[0.1493769884109497, 0.2527455985546112, 0.22454343736171722]","[0.5365616679191589, 0.4554744362831116, -0.21960756182670593]","[0.49841901659965515, 0.44597697257995605, 0.21909403800964355]","[0.5190621018409729, 0.5985583066940308, 0.0055025434121489525]","[0.49550899863243103, 0.58027583360672, 0.5060988664627075]","[0.5475255250930786, 0.7302004098892212, 0.2547714114189148]","[0.5343568921089172, 0.6912702918052673, 0.8705815672874451]","[0.5760675668716431, 0.757532000541687, 0.272978812456131]","[0.5606212615966797, 0.7168533802032471, 0.9073657393455505]","[0.4350889027118683, 0.7631001472473145, 0.0976114571094513]","[0.43243154883384705, 0.7090081572532654, 0.8367878198623657]"
"[0.5002009868621826, 0.17197257280349731, -0.23067604005336761]","[0.5169719457626343, 0.1576041281223297, -0.2776428759098053]","[0.5224325656890869, 0.1578485071659088, -0.2778506577014923]","[0.5281153917312622, 0.15808168053627014, -0.2778431177139282]","[0.5108915567398071, 0.15660704672336578, -0.20069868862628937]","[0.5116596221923828, 0.15612030029296875, -0.2007117122411728]","[0.5129682421684265, 0.15559342503547668, -0.2007140964269638]","[0.5619889497756958, 0.16594573855400085, -0.39060279726982117]","[0.5454280376434326, 0.16228994727134705, -0.04128466919064522]","[0.5155171751976013, 0.18615171313285828, -0.2619227170944214]","[0.5065926313400269, 0.18543806672096252, -0.16089583933353424]","[0.6106295585632324, 0.2466282844543457, -0.5765085220336914]","[0.5530644059181213, 0.24188482761383057, 0.21240882575511932]","[0.4010189175605774, 0.267799437046051, -0.6975793242454529]","[0.3721937835216522, 0.26589059829711914, 0.35494542121887207]","[0.2013881504535675, 0.24851901829242706, -0.7020548582077026]","[0.20279313623905182, 0.2539573311805725, 0.2701614499092102]","[0.13815471529960632, 0.24915960431098938, -0.7939013242721558]","[0.13987216353416443, 0.25372177362442017, 0.26088541746139526]","[0.12875473499298096, 0.24455878138542175, -0.7559388279914856]","[0.12979967892169952, 0.2510330080986023, 0.1837235391139984]","[0.14474989473819733, 0.24589940905570984, -0.6859997510910034]","[0.14884158968925476, 0.25268787145614624, 0.2278873473405838]","[0.535528302192688, 0.45643043518066406, -0.22007524967193604]","[0.4972635805606842, 0.4466293454170227, 0.21956276893615723]","[0.5180554986000061, 0.5995758771896362, 0.011367157101631165]","[0.49373161792755127, 0.5810093879699707, 0.5068418383598328]","[0.5470086932182312, 0.7303252816200256, 0.27906906604766846]","[0.5334116220474243, 0.691257119178772, 0.8745394945144653]","[0.5757526159286499, 0.7575335502624512, 0.29981476068496704]","[0.5563333034515381, 0.7148827314376831, 0.9117701053619385]","[0.43443307280540466, 0.7629428505897522, 0.1291581094264984]","[0.4315294623374939, 0.7092214822769165, 0.8404651880264282]"
"[0.49874889850616455, 0.17222103476524353, -0.23302525281906128]","[0.5156288743019104, 0.15771713852882385, -0.27995097637176514]","[0.5212055444717407, 0.1579834669828415, -0.280162513256073]","[0.5270869731903076, 0.15825432538986206, -0.2801552712917328]","[0.5089583396911621, 0.1567380577325821, -0.2029258757829666]","[0.5094377994537354, 0.15626272559165955, -0.2029384821653366]","[0.5104071497917175, 0.15575453639030457, -0.2029404491186142]","[0.5609800815582275, 0.16625386476516724, -0.389059841632843]","[0.542969286441803, 0.16245998442173004, -0.041063159704208374]","[0.5142170190811157, 0.18644210696220398, -0.263410747051239]","[0.5046790242195129, 0.1857243776321411, -0.1625353842973709]","[0.6097897291183472, 0.24657413363456726, -0.5761913061141968]","[0.549611508846283, 0.24189209938049316, 0.2147870808839798]","[0.4013644754886627, 0.26702848076820374, -0.7021598219871521]","[0.36165228486061096, 0.26557233929634094, 0.3579447865486145]","[0.1994655579328537, 0.24808946251869202, -0.7023718953132629]","[0.18929758667945862, 0.2536032199859619, 0.27019521594047546]","[0.1362456977367401, 0.24791081249713898, -0.7969764471054077]","[0.1336134970188141, 0.2533031105995178, 0.26068440079689026]","[0.127483531832695, 0.24362917244434357, -0.7597603797912598]","[0.12649141252040863, 0.25075674057006836, 0.1833530217409134]","[0.14338582754135132, 0.2452714443206787, -0.6875450015068054]","[0.141989603638649, 0.25238296389579773, 0.22777657210826874]","[0.5348809361457825, 0.45648208260536194, -0.22012344002723694]","[0.49619072675704956, 0.4468279480934143, 0.21960926055908203]","[0.5166271924972534, 0.5998502373695374, 0.012292548082768917]","[0.4921741783618927, 0.5810326337814331, 0.5065376162528992]","[0.5464056134223938, 0.7303355932235718, 0.27632513642311096]","[0.532902181148529, 0.6912848353385925, 0.8671198487281799]","[0.5751057863235474, 0.7573004961013794, 0.2967302203178406]","[0.5546268224716187, 0.7140476703643799, 0.9030622839927673]","[0.43386250734329224, 0.762829065322876, 0.12513840198516846]","[0.43027856945991516, 0.7094436883926392, 0.8287711143493652]"
