NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX
"[0.49602070450782776, 0.28156551718711853, -0.15098004043102264]","[0.49926280975341797, 0.2683710753917694, -0.14078380167484283]","[0.5011417269706726, 0.26810401678085327, -0.14078029990196228]","[0.5031255483627319, 0.26790738105773926, -0.14079150557518005]","[0.49130329489707947, 0.26998817920684814, -0.14308732748031616]","[0.4881448745727539, 0.27087634801864624, -0.1430729627609253]","[0.4851279854774475, 0.2720453143119812, -0.14300574362277985]","[0.5051243305206299, 0.27157315611839294, -0.06652228534221649]","[0.47973084449768066, 0.27701762318611145, -0.07877349108457565]","[0.5004799962043762, 0.29454609751701355, -0.1229032501578331]","[0.49110808968544006, 0.2972242832183838, -0.12605474889278412]","[0.5235750079154968, 0.3466308116912842, -0.03850451111793518]","[0.4625563621520996, 0.33827894926071167, -0.07220731675624847]","[0.5475045442581177, 0.38682347536087036, -0.12982623279094696]","[0.4478132128715515, 0.3780994713306427, -0.20834894478321075]","[0.5733891725540161, 0.3957233428955078, -0.2905564308166504]","[0.441175639629364, 0.3752322793006897, -0.3761191964149475]","[0.5863398313522339, 0.40313422679901123, -0.3268389105796814]","[0.4361499845981598, 0.37273970246315, -0.4136587679386139]","[0.585800051689148, 0.40041500329971313, -0.337535560131073]","[0.43855977058410645, 0.36840662360191345, -0.4136318266391754]","[0.5798094868659973, 0.3989003002643585, -0.3011036813259125]","[0.4419768452644348, 0.37061387300491333, -0.3819054663181305]","[0.5094897747039795, 0.5423176288604736, 0.008014446124434471]","[0.4734504222869873, 0.5413280725479126, -0.00809516105800867]","[0.511523962020874, 0.6300363540649414, 0.08432372659444809]","[0.4690040946006775, 0.63438481092453, 0.06999499350786209]","[0.5121502876281738, 0.7254871726036072, 0.26075348258018494]","[0.46518421173095703, 0.7332814335823059, 0.22102919220924377]","[0.5089621543884277, 0.7342528700828552, 0.27716705203056335]","[0.4704057574272156, 0.740522027015686, 0.23519864678382874]","[0.5174952149391174, 0.7754750847816467, 0.22857344150543213]","[0.464134156703949, 0.781833291053772, 0.1795998364686966]"
"[0.49590739607810974, 0.2815667986869812, -0.14495795965194702]","[0.4991038739681244, 0.2684812843799591, -0.1353342980146408]","[0.5010557174682617, 0.268248587846756, -0.13532917201519012]","[0.5029064416885376, 0.268108993768692, -0.13533423840999603]","[0.49107009172439575, 0.270100474357605, -0.13649201393127441]","[0.4879852831363678, 0.27094921469688416, -0.1364808976650238]","[0.48507195711135864, 0.27204447984695435, -0.13641861081123352]","[0.5050057172775269, 0.27256280183792114, -0.06430243700742722]","[0.47974950075149536, 0.2771585285663605, -0.0717497393488884]","[0.5004549026489258, 0.2945489287376404, -0.11817552149295807]","[0.4909961223602295, 0.29674234986305237, -0.11999286711215973]","[0.523560106754303, 0.3479043245315552, -0.03475122153759003]","[0.46249085664749146, 0.3394639194011688, -0.06330520659685135]","[0.546782910823822, 0.3860708773136139, -0.12014345079660416]","[0.4474124312400818, 0.3706600069999695, -0.19133324921131134]","[0.5734536647796631, 0.3951309621334076, -0.270355761051178]","[0.4398570656776428, 0.3740895092487335, -0.35720738768577576]","[0.5865321755409241, 0.40264588594436646, -0.30306461453437805]","[0.4337955415248871, 0.3725658059120178, -0.3935992419719696]","[0.5851715207099915, 0.39917129278182983, -0.31359750032424927]","[0.438556432723999, 0.3684319257736206, -0.39243993163108826]","[0.5791245102882385, 0.39745602011680603, -0.27994871139526367]","[0.4420342445373535, 0.3705624043941498, -0.36233970522880554]","[0.5095125436782837, 0.5405908226966858, 0.007968831807374954]","[0.47315582633018494, 0.539802610874176, -0.008054784499108791]","[0.5114913582801819, 0.6323838829994202, 0.06680767238140106]","[0.46877074241638184, 0.6372509598731995, 0.0641641914844513]","[0.5109006762504578, 0.7253289818763733, 0.23362886905670166]","[0.4659688472747803, 0.7329374551773071, 0.2192770540714264]","[0.506606936454773, 0.7342527508735657, 0.24847277998924255]","[0.47058922052383423, 0.7391111850738525, 0.23342125117778778]","[0.5174388289451599, 0.7741802930831909, 0.19367794692516327]","[0.4641922414302826, 0.7805811762809753, 0.17539919912815094]"
"[0.4957445561885834, 0.2815583050251007, -0.1426645964384079]","[0.4990205764770508, 0.2684955894947052, -0.13328319787979126]","[0.501009464263916, 0.2682890295982361, -0.13327446579933167]","[0.5027905702590942, 0.26821455359458923, -0.13327622413635254]","[0.49093136191368103, 0.2700985074043274, -0.13404332101345062]","[0.48787254095077515, 0.2709367871284485, -0.1340359002351761]","[0.485022634267807, 0.2719764709472656, -0.13397802412509918]","[0.5049882531166077, 0.2732481062412262, -0.06345343589782715]","[0.47976937890052795, 0.27716130018234253, -0.06900130212306976]","[0.5003690123558044, 0.2945478558540344, -0.11624179780483246]","[0.4907433092594147, 0.2962324023246765, -0.11754968017339706]","[0.523565948009491, 0.3481523096561432, -0.030368193984031677]","[0.4624599516391754, 0.3401589095592499, -0.059992920607328415]","[0.5466176271438599, 0.3852749168872833, -0.10286475718021393]","[0.4474143385887146, 0.3682135343551636, -0.18792036175727844]","[0.5736439228057861, 0.39448294043540955, -0.24198968708515167]","[0.4392421245574951, 0.3729023039340973, -0.356863796710968]","[0.5866916179656982, 0.4023649990558624, -0.27123552560806274]","[0.43294310569763184, 0.3723955452442169, -0.3930867314338684]","[0.5851261019706726, 0.39861708879470825, -0.282286673784256]","[0.4385503828525543, 0.3684317171573639, -0.39167550206184387]","[0.5791205167770386, 0.3967101573944092, -0.25135836005210876]","[0.44205909967422485, 0.3703269064426422, -0.36193886399269104]","[0.5096029043197632, 0.5390195846557617, 0.007953168824315071]","[0.47302109003067017, 0.5384702086448669, -0.008043074980378151]","[0.5114555358886719, 0.6334090828895569, 0.05884947627782822]","[0.4686385989189148, 0.6383954286575317, 0.058841366320848465]","[0.5105244517326355, 0.7250922918319702, 0.22464092075824738]","[0.46645116806030273, 0.7326245903968811, 0.2159433364868164]","[0.5061049461364746, 0.7341263890266418, 0.23919887840747833]","[0.47074589133262634, 0.7379506230354309, 0.23012669384479523]","[0.517299234867096, 0.7734702229499817, 0.1830536276102066]","[0.4642100930213928, 0.7799030542373657, 0.17095831036567688]"
"[0.4953717589378357, 0.28170129656791687, -0.13987714052200317]","[0.4988276958465576, 0.26873376965522766, -0.13113375008106232]","[0.5009299516677856, 0.26858678460121155, -0.13112056255340576]","[0.5026726126670837, 0.26863598823547363, -0.1311124563217163]","[0.49064111709594727, 0.2703060209751129, -0.1314375400543213]","[0.4876151978969574, 0.27112889289855957, -0.13143011927604675]","[0.48487186431884766, 0.27208569645881653, -0.13137245178222656]","[0.5049870014190674, 0.2741702198982239, -0.0630822479724884]","[0.4797717034816742, 0.2774048149585724, -0.06678919494152069]","[0.500209391117096, 0.294802188873291, -0.11399124562740326]","[0.490323007106781, 0.2962028384208679, -0.11469854414463043]","[0.5235666036605835, 0.3482114374637604, -0.029035713523626328]","[0.4623962342739105, 0.34078311920166016, -0.05465235561132431]","[0.5460338592529297, 0.3848409950733185, -0.09529544413089752]","[0.4465421140193939, 0.3682892322540283, -0.1756867617368698]","[0.5735381841659546, 0.3943294882774353, -0.23001328110694885]","[0.4385426640510559, 0.371749609708786, -0.3424954414367676]","[0.5866971015930176, 0.40214967727661133, -0.25805771350860596]","[0.43201106786727905, 0.3721480071544647, -0.3775082230567932]","[0.5849672555923462, 0.3982585072517395, -0.26974716782569885]","[0.43853411078453064, 0.368392676115036, -0.37664949893951416]","[0.578940212726593, 0.39633551239967346, -0.2393372803926468]","[0.44208574295043945, 0.3699553310871124, -0.34761765599250793]","[0.5097305774688721, 0.5377947688102722, 0.007679450325667858]","[0.47288817167282104, 0.5373502969741821, -0.007779559586197138]","[0.5114501118659973, 0.6339650750160217, 0.05456586927175522]","[0.4684270918369293, 0.6388286352157593, 0.05489681288599968]","[0.5104823708534241, 0.7250392436981201, 0.21736779808998108]","[0.46670055389404297, 0.7322456240653992, 0.20835740864276886]","[0.5059702396392822, 0.7341182231903076, 0.23140878975391388]","[0.47087544202804565, 0.7370943427085876, 0.2220010757446289]","[0.5173893570899963, 0.7732642292976379, 0.17529281973838806]","[0.46417418122291565, 0.7795398235321045, 0.16312865912914276]"
"[0.49520331621170044, 0.2818875014781952, -0.13806357979774475]","[0.49868568778038025, 0.26899948716163635, -0.12906856834888458]","[0.5008500814437866, 0.26889026165008545, -0.12905602157115936]","[0.5025450587272644, 0.2690178453922272, -0.12904974818229675]","[0.49046769738197327, 0.2705208659172058, -0.12964123487472534]","[0.48745647072792053, 0.27134251594543457, -0.12963354587554932]","[0.48476848006248474, 0.2722626030445099, -0.1295747607946396]","[0.5048890113830566, 0.2748638689517975, -0.061028074473142624]","[0.47977250814437866, 0.27778133749961853, -0.06559504568576813]","[0.500080943107605, 0.2951163351535797, -0.11213050037622452]","[0.49009060859680176, 0.296205073595047, -0.11321183294057846]","[0.5234977006912231, 0.3486877679824829, -0.02763982117176056]","[0.4623106122016907, 0.34148260951042175, -0.05529659241437912]","[0.5454455614089966, 0.3845885097980499, -0.09854729473590851]","[0.4465619623661041, 0.36751788854599, -0.18118444085121155]","[0.5735710263252258, 0.3942435383796692, -0.23657675087451935]","[0.4383460581302643, 0.37052929401397705, -0.3492407202720642]","[0.5867751836776733, 0.4020499289035797, -0.26562899351119995]","[0.43162161111831665, 0.3718544840812683, -0.3848510682582855]","[0.5849363207817078, 0.39811578392982483, -0.27686458826065063]","[0.43853265047073364, 0.36824294924736023, -0.38401150703430176]","[0.5789376497268677, 0.39622464776039124, -0.24590155482292175]","[0.4421214461326599, 0.3694569170475006, -0.35450124740600586]","[0.5097593069076538, 0.5373697280883789, 0.007657321635633707]","[0.4728110432624817, 0.5370465517044067, -0.007759085390716791]","[0.5114184617996216, 0.6343265771865845, 0.05705360695719719]","[0.4683606028556824, 0.6391357779502869, 0.05469221621751785]","[0.5103567838668823, 0.7250653505325317, 0.21542803943157196]","[0.46694716811180115, 0.732187032699585, 0.2040085792541504]","[0.5057123303413391, 0.7344400882720947, 0.22901642322540283]","[0.4710446298122406, 0.7370234131813049, 0.21721717715263367]","[0.5173579454421997, 0.7729784846305847, 0.1735277771949768]","[0.4641769528388977, 0.7792177796363831, 0.15888184309005737]"
"[0.49491506814956665, 0.28197336196899414, -0.13928824663162231]","[0.4985312521457672, 0.2690584361553192, -0.1302252858877182]","[0.5007601976394653, 0.26898515224456787, -0.13021361827850342]","[0.5024332404136658, 0.2691579759120941, -0.1302088499069214]","[0.49020639061927795, 0.2705330550670624, -0.1308690756559372]","[0.487206369638443, 0.27135169506073, -0.13085946440696716]","[0.48455601930618286, 0.2722789943218231, -0.13079875707626343]","[0.5048623085021973, 0.27518317103385925, -0.061150819063186646]","[0.4797745645046234, 0.27784332633018494, -0.06678168475627899]","[0.49988967180252075, 0.29524150490760803, -0.11321453005075455]","[0.48972392082214355, 0.29618728160858154, -0.11440657079219818]","[0.5234383344650269, 0.3491648733615875, -0.0287983026355505]","[0.4622754156589508, 0.3418707549571991, -0.054064441472291946]","[0.5453165769577026, 0.38444119691848755, -0.09914673119783401]","[0.44547343254089355, 0.3680168092250824, -0.17433400452136993]","[0.5737711191177368, 0.3941650092601776, -0.23559768497943878]","[0.43763917684555054, 0.37061363458633423, -0.33935898542404175]","[0.586914598941803, 0.401949018239975, -0.2644333243370056]","[0.431338369846344, 0.37194395065307617, -0.37404149770736694]","[0.5849510431289673, 0.3980930745601654, -0.2754327058792114]","[0.438518762588501, 0.36832788586616516, -0.37300029397010803]","[0.5790327191352844, 0.39622798562049866, -0.244594544172287]","[0.4421170651912689, 0.3694705069065094, -0.3442767858505249]","[0.5097604393959045, 0.5370665192604065, 0.007229599170386791]","[0.4727029800415039, 0.5367269515991211, -0.007343844510614872]","[0.511367678642273, 0.6348317265510559, 0.057241905480623245]","[0.4683247208595276, 0.639279305934906, 0.05673801898956299]","[0.5103689432144165, 0.7248711585998535, 0.21712779998779297]","[0.4670961797237396, 0.7319796085357666, 0.20686475932598114]","[0.5057207942008972, 0.7343922257423401, 0.2309301644563675]","[0.4711705148220062, 0.7367925047874451, 0.22042889893054962]","[0.5173393487930298, 0.7727594971656799, 0.17547567188739777]","[0.464123010635376, 0.7791330814361572, 0.16233304142951965]"
"[0.49480587244033813, 0.2820832431316376, -0.13943490386009216]","[0.4984058439731598, 0.2691061198711395, -0.13066811859607697]","[0.5006422400474548, 0.26906242966651917, -0.13065500557422638]","[0.5022929906845093, 0.2692467272281647, -0.13064897060394287]","[0.49006086587905884, 0.2705390155315399, -0.13138431310653687]","[0.48704981803894043, 0.2713557481765747, -0.13137410581111908]","[0.4844179153442383, 0.27229321002960205, -0.1313103586435318]","[0.5047494769096375, 0.2753276526927948, -0.0630461573600769]","[0.479775995016098, 0.27795612812042236, -0.06766467541456223]","[0.499795526266098, 0.2953740060329437, -0.11392445862293243]","[0.48961392045021057, 0.2961883246898651, -0.11483023315668106]","[0.5233510732650757, 0.3497011959552765, -0.02946954034268856]","[0.46224522590637207, 0.3422090709209442, -0.05470479652285576]","[0.5454107522964478, 0.3843623995780945, -0.089920274913311]","[0.4452176094055176, 0.3683842122554779, -0.1739552915096283]","[0.5744248032569885, 0.3941669166088104, -0.21690137684345245]","[0.4377255439758301, 0.3712976574897766, -0.3396145701408386]","[0.5872570276260376, 0.40192195773124695, -0.244015172123909]","[0.43148356676101685, 0.37253788113594055, -0.374668687582016]","[0.5852193832397461, 0.3980921506881714, -0.25544556975364685]","[0.43860048055648804, 0.3689033091068268, -0.3733890652656555]","[0.5795658230781555, 0.3962385058403015, -0.2257634848356247]","[0.4422403872013092, 0.3698299825191498, -0.3443865478038788]","[0.5097664594650269, 0.5370115637779236, 0.006790328770875931]","[0.4726054072380066, 0.5366097688674927, -0.006920841988176107]","[0.5113493800163269, 0.6351358294487, 0.05695617198944092]","[0.4683212339878082, 0.6393865346908569, 0.059172727167606354]","[0.510381817817688, 0.724851131439209, 0.2221667319536209]","[0.46739333868026733, 0.7319164872169495, 0.22061853110790253]","[0.5057822465896606, 0.7343059182167053, 0.23655244708061218]","[0.4713202118873596, 0.7368001341819763, 0.23528552055358887]","[0.5173047780990601, 0.7727622389793396, 0.1802227944135666]","[0.46403560042381287, 0.7791436910629272, 0.17764213681221008]"
"[0.4947572350502014, 0.28228411078453064, -0.14228764176368713]","[0.49834728240966797, 0.26926058530807495, -0.13350315392017365]","[0.5005788207054138, 0.2692684829235077, -0.13348866999149323]","[0.5022207498550415, 0.26947736740112305, -0.1334860920906067]","[0.489950031042099, 0.27057987451553345, -0.13354399800300598]","[0.4869168698787689, 0.2713814675807953, -0.13353437185287476]","[0.48428621888160706, 0.2723306715488434, -0.1334754079580307]","[0.5046871900558472, 0.2755780816078186, -0.06585463881492615]","[0.47976869344711304, 0.27815183997154236, -0.06798586249351501]","[0.49974504113197327, 0.29564836621284485, -0.11662912368774414]","[0.4894992709159851, 0.29625558853149414, -0.11683455854654312]","[0.5232298970222473, 0.3501461148262024, -0.02988850697875023]","[0.46214646100997925, 0.3428466320037842, -0.055771954357624054]","[0.5456305146217346, 0.3842475116252899, -0.08021194487810135]","[0.44499626755714417, 0.36858949065208435, -0.1749999225139618]","[0.5750302076339722, 0.3940824866294861, -0.19695933163166046]","[0.4375638961791992, 0.37432339787483215, -0.34060636162757874]","[0.5877269506454468, 0.4016445577144623, -0.22148486971855164]","[0.43148159980773926, 0.37450602650642395, -0.3755826950073242]","[0.5857977867126465, 0.3979646563529968, -0.23355039954185486]","[0.4385976195335388, 0.37049373984336853, -0.37430456280708313]","[0.5804044008255005, 0.39618900418281555, -0.20575019717216492]","[0.4422367513179779, 0.37142589688301086, -0.34537065029144287]","[0.5097672939300537, 0.5370782017707825, 0.0066237980499863625]","[0.4723811149597168, 0.5366485714912415, -0.00676352996379137]","[0.511375367641449, 0.6363986134529114, 0.05446573346853256]","[0.4682200849056244, 0.6401544213294983, 0.060925163328647614]","[0.5103902816772461, 0.7248365879058838, 0.22549159824848175]","[0.46740642189979553, 0.7317638993263245, 0.23246736824512482]","[0.5057993531227112, 0.734008252620697, 0.23976373672485352]","[0.47133105993270874, 0.7363905906677246, 0.2481520175933838]","[0.5172621607780457, 0.772770345211029, 0.18503737449645996]","[0.4638760983943939, 0.7792167663574219, 0.19041535258293152]"
"[0.49465328454971313, 0.28277888894081116, -0.14329561591148376]","[0.49827122688293457, 0.2697165906429291, -0.13452807068824768]","[0.5005194544792175, 0.26977428793907166, -0.13451673090457916]","[0.5021470785140991, 0.2700252830982208, -0.13451577723026276]","[0.489829957485199, 0.27083173394203186, -0.13439102470874786]","[0.4867989122867584, 0.27156996726989746, -0.1343802958726883]","[0.484151691198349, 0.27251723408699036, -0.13432006537914276]","[0.5046166181564331, 0.275953471660614, -0.06705854088068008]","[0.4797508716583252, 0.2783987820148468, -0.06813515722751617]","[0.49967604875564575, 0.2961593568325043, -0.11761321127414703]","[0.48933929204940796, 0.29648634791374207, -0.1175389513373375]","[0.5230254530906677, 0.3505057990550995, -0.03256703168153763]","[0.461963027715683, 0.34349673986434937, -0.056385863572359085]","[0.5456427335739136, 0.38416922092437744, -0.09560836851596832]","[0.44497185945510864, 0.3694339394569397, -0.17323175072669983]","[0.5751078128814697, 0.39408108592033386, -0.23170611262321472]","[0.43761521577835083, 0.3781314492225647, -0.33588606119155884]","[0.5877476930618286, 0.4015258252620697, -0.2610563039779663]","[0.4315357208251953, 0.37727364897727966, -0.37193164229393005]","[0.5857948064804077, 0.3978942334651947, -0.2727396488189697]","[0.4386628568172455, 0.37253478169441223, -0.3713330626487732]","[0.5804227590560913, 0.396192342042923, -0.240979865193367]","[0.44227686524391174, 0.3734721839427948, -0.3409983515739441]","[0.5097526907920837, 0.5373068451881409, 0.005727579351514578]","[0.47222286462783813, 0.5369712114334106, -0.005860998295247555]","[0.5115638375282288, 0.6389332413673401, 0.05135466530919075]","[0.46812111139297485, 0.6414743661880493, 0.06403788179159164]","[0.510485053062439, 0.7251020073890686, 0.22683990001678467]","[0.46765008568763733, 0.7318266034126282, 0.23596937954425812]","[0.5058103799819946, 0.7340027093887329, 0.24166131019592285]","[0.4715031087398529, 0.7364056706428528, 0.2515307068824768]","[0.5172701478004456, 0.7727970480918884, 0.1864759624004364]","[0.46373528242111206, 0.7795413732528687, 0.1962762176990509]"
"[0.49465498328208923, 0.28398799896240234, -0.14332884550094604]","[0.4982670247554779, 0.2711523771286011, -0.13455286622047424]","[0.5005123019218445, 0.27122560143470764, -0.1345411241054535]","[0.5021350383758545, 0.27153363823890686, -0.13454008102416992]","[0.48982954025268555, 0.27224376797676086, -0.1345379799604416]","[0.48679953813552856, 0.2729785144329071, -0.13452737033367157]","[0.48415178060531616, 0.27388662099838257, -0.1344671994447708]","[0.5046014785766602, 0.27750444412231445, -0.06700551509857178]","[0.47975167632102966, 0.2799290418624878, -0.06854009628295898]","[0.49967747926712036, 0.29771888256073, -0.11768089234828949]","[0.4893428683280945, 0.2975163757801056, -0.11764852702617645]","[0.5230225324630737, 0.3517357110977173, -0.03306002542376518]","[0.46191954612731934, 0.34462660551071167, -0.056295353919267654]","[0.5456266403198242, 0.384257435798645, -0.10225389897823334]","[0.4448031485080719, 0.37098973989486694, -0.1693364381790161]","[0.5751000046730042, 0.39430806040763855, -0.24473540484905243]","[0.4376445412635803, 0.3800211250782013, -0.3296637535095215]","[0.5877184271812439, 0.40154358744621277, -0.2755078375339508]","[0.43160027265548706, 0.379204124212265, -0.3659640848636627]","[0.5856747627258301, 0.39789581298828125, -0.2858840823173523]","[0.4387577474117279, 0.3746538460254669, -0.3653271794319153]","[0.5803181529045105, 0.3962354063987732, -0.2538983225822449]","[0.4423542618751526, 0.3754286468029022, -0.3347472846508026]","[0.5095963478088379, 0.5376347899436951, 0.0049586910754442215]","[0.4719933569431305, 0.5374231338500977, -0.005081250332295895]","[0.5120304822921753, 0.6406146883964539, 0.044151343405246735]","[0.4681002199649811, 0.641879677772522, 0.06392671912908554]","[0.5105400681495667, 0.725256085395813, 0.22076444327831268]","[0.4678552746772766, 0.7322604060173035, 0.2326800525188446]","[0.5058275461196899, 0.7339572310447693, 0.2360408753156662]","[0.471684992313385, 0.7371155023574829, 0.24793919920921326]","[0.5172563791275024, 0.7728544473648071, 0.180153489112854]","[0.46360307931900024, 0.7802599668502808, 0.19289860129356384]"
"[0.4946475028991699, 0.2867393493652344, -0.14343008399009705]","[0.49818962812423706, 0.2744747996330261, -0.13444867730140686]","[0.5004602074623108, 0.27454569935798645, -0.13443835079669952]","[0.5020710229873657, 0.27475640177726746, -0.1344393640756607]","[0.48979243636131287, 0.2754219174385071, -0.13461029529571533]","[0.48676878213882446, 0.2759973704814911, -0.13459962606430054]","[0.4841257929801941, 0.27644601464271545, -0.134538933634758]","[0.5044885277748108, 0.28058090806007385, -0.06594343483448029]","[0.4797306954860687, 0.28301647305488586, -0.068424291908741]","[0.49967604875564575, 0.3008626401424408, -0.11768949031829834]","[0.4893442690372467, 0.3003113865852356, -0.117817223072052]","[0.523004949092865, 0.3549995720386505, -0.031489863991737366]","[0.46190375089645386, 0.34833934903144836, -0.05648971349000931]","[0.545814037322998, 0.3849550783634186, -0.09960910677909851]","[0.44482922554016113, 0.37271127104759216, -0.17288503050804138]","[0.5751528143882751, 0.39519360661506653, -0.2381969690322876]","[0.4376530647277832, 0.38229110836982727, -0.33559924364089966]","[0.5877259969711304, 0.40190213918685913, -0.2678527235984802]","[0.43167129158973694, 0.38222643733024597, -0.37138596177101135]","[0.585690438747406, 0.39816224575042725, -0.2795523405075073]","[0.4388708174228668, 0.37848636507987976, -0.3706951439380646]","[0.5803325772285461, 0.3967324495315552, -0.2478969395160675]","[0.4424334168434143, 0.3791860342025757, -0.34067755937576294]","[0.5095834732055664, 0.5411710739135742, 0.005163194146007299]","[0.4719026982784271, 0.5407429933547974, -0.005280168727040291]","[0.5134610533714294, 0.6448766589164734, 0.04472888261079788]","[0.46810096502304077, 0.6457775831222534, 0.06354667246341705]","[0.510546088218689, 0.7254012823104858, 0.23039939999580383]","[0.4682570993900299, 0.732728123664856, 0.2402314692735672]","[0.5058408975601196, 0.7337349653244019, 0.24771526455879211]","[0.4719410836696625, 0.7375688552856445, 0.256510466337204]","[0.5172621607780457, 0.7729984521865845, 0.1911313533782959]","[0.46353358030319214, 0.7815549969673157, 0.19942441582679749]"
"[0.4947430193424225, 0.2927592396736145, -0.1512218713760376]","[0.49818864464759827, 0.2806294858455658, -0.140182763338089]","[0.5004484057426453, 0.2806555926799774, -0.14018072187900543]","[0.5020442605018616, 0.28055769205093384, -0.1401878297328949]","[0.48979702591896057, 0.2812095582485199, -0.14191775023937225]","[0.4867844581604004, 0.2814791202545166, -0.14190992712974548]","[0.48413509130477905, 0.281694233417511, -0.141852468252182]","[0.5043544173240662, 0.28612658381462097, -0.06692688167095184]","[0.47971096634864807, 0.288906455039978, -0.07495300471782684]","[0.4996948838233948, 0.3064340054988861, -0.12356263399124146]","[0.4895404875278473, 0.30628952383995056, -0.12584960460662842]","[0.5229583382606506, 0.3607991933822632, -0.03152884915471077]","[0.46190112829208374, 0.3566056191921234, -0.07090749591588974]","[0.5460829734802246, 0.3868848979473114, -0.10607738792896271]","[0.44762247800827026, 0.38064438104629517, -0.20694315433502197]","[0.5762929916381836, 0.3969051241874695, -0.25289732217788696]","[0.4377674162387848, 0.38951700925827026, -0.38262709975242615]","[0.588565468788147, 0.40324485301971436, -0.2824847996234894]","[0.43225011229515076, 0.3871743083000183, -0.4222589433193207]","[0.5866647958755493, 0.4000609815120697, -0.29507896304130554]","[0.43885141611099243, 0.3832889199256897, -0.42175740003585815]","[0.5814664363861084, 0.3989017903804779, -0.26332247257232666]","[0.4424053728580475, 0.38493695855140686, -0.38874971866607666]","[0.5094533562660217, 0.5467618107795715, 0.00775411119684577]","[0.4717206358909607, 0.5467745661735535, -0.007855171337723732]","[0.5157925486564636, 0.6487252712249756, 0.04798925295472145]","[0.46816572546958923, 0.6501455903053284, 0.0659240260720253]","[0.5105509757995605, 0.7263179421424866, 0.24348072707653046]","[0.4685872495174408, 0.7332524061203003, 0.2607610523700714]","[0.5058163404464722, 0.7338977456092834, 0.2610599994659424]","[0.47206753492355347, 0.7379711866378784, 0.27857688069343567]","[0.517670214176178, 0.7731271386146545, 0.2010153830051422]","[0.4635346829891205, 0.7827671766281128, 0.21817395091056824]"
